t(s),Flux surface 40: solute,Flux surface 41: solute,Flux surface 42: solute,Flux surface 43: solute,Flux surface 44: solute,Flux surface 45: solute,Flux surface 46: solute,Flux surface 47: solute,Flux surface 48: solute,Flux surface 49: solute,Flux surface 39: solute,Flux surface 22: solute,Total solute volume 7,Total solute volume 8,Total solute volume 9,Total solute volume 10,Total solute volume 11,Total solute volume 12,Total solute volume 13,Total solute volume 14,Total solute volume 15,Total solute volume 16,Total solute volume 17,Total solute volume 18,Total solute volume 19,Total solute volume 6,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total retention volume 8,Total retention volume 9,Total retention volume 10,Total retention volume 11,Total retention volume 12,Total retention volume 13,Total retention volume 14,Total retention volume 15,Total retention volume 16,Total retention volume 17,Total retention volume 18,Total retention volume 19,Total solute surface 21
100.0,-378919522795.12213,-119160841494.59947,-38053719688.86933,-46942519545.79165,-536036737557.60345,-190004038742.45804,-488078406958.6301,-164946370699.86874,-59610299524.49803,-35796696308.58003,-447228.4965464284,187859059140533.56,8367231498281767.0,2.5955629459330976e+16,6129612275073624.0,1471068136688634.5,737928976427277.4,428507452532970.75,441422049139746.5,1709774040207866.0,885550748155480.6,1637736809097754.5,834832431113532.9,497973524677838.44,402515357723401.25,1.0748515481615538e+19,5752043947813713.0,2.242451433336399e+16,3.654378977945952e+16,2.85713222643398e+16,6553093233683968.0,1975925566821167.2,1084976371997331.1,762501409738279.2,717433735096080.1,2112550329202792.8,1157271482259249.2,2071266983214023.2,1131735620409553.0,785721814597465.9,702654339399615.2,2.4585344128798285e+18
220.0,-2856674626732.9375,-1040628541814.3928,-382932089955.38586,-450125174256.038,-3751432527505.3843,-1505580912202.242,-3479138538791.519,-1344615054913.283,-556330873472.8575,-356327469337.9316,-8709568.552976869,135259986283989.05,1.2454895753459824e+16,7.42425917395966e+16,1.5449130128718424e+16,3926028417503387.0,1996801180411199.5,1180024134142365.8,1210864804975168.2,4519899115554739.0,2371457672692561.0,4340062012205256.5,2244252962504222.8,1358732287990183.0,1106607235789157.8,2.356868338399213e+19,8555426810869707.0,3.3346419467534068e+16,5.4356742031863576e+16,8.176315344270235e+16,1.652587882066139e+16,5312176282210199.0,2961478256037775.0,2116968520989157.8,1985640619098882.2,5618680984154178.0,3122901069072017.5,5525010229752617.0,3067283301825644.0,2163633145330564.2,1948038743434477.5,5.606357486740199e+18
364.0,-8096180235014.694,-3376827643889.318,-1502802500859.09,-1670564040018.958,-10058347281870.121,-4495853247887.901,-9461453617195.297,-4115661027397.358,-1980151577205.2395,-1397212428556.5962,-81001223.73997645,105921117895993.98,1.6120295240676948e+16,1.495856752021769e+17,2.7560505620645464e+16,7260720163986907.0,3738489043097090.0,2256659009502536.5,2303909024218134.0,8283016729336622.0,4388649750297503.5,7972394655275360.0,4171505773681734.0,2567081996689991.5,2111034321398447.2,3.884659681859818e+19,1.1083507132501348e+16,4.321078827108272e+16,7.041459064426091e+16,1.6483213917021498e+17,2.949085679708783e+16,9862694801208452.0,5571262830611211.0,4068829869736319.0,3798213629942362.5,1.0328849948703446e+16,5801771211595345.0,1.018431202240309e+16,5726026503410255.0,4110712757964419.5,3735294425826659.5,9.698705110129762e+18
536.8,-15819886409810.514,-7105973309099.07,-3567194386840.7783,-3831768199414.7725,-19039265132009.4,-9003298018140.701,-18057646696572.355,-8371447912545.751,-4413153126656.234,-3310851685135.5884,-512413652.8606459,87126893839289.03,1.964221007441784e+16,2.590664849423348e+17,4.261783263568116e+16,1.1433102597210574e+16,5940937201731079.0,3659280884908510.5,3719858566186109.0,1.2941238563343826e+16,6902254803792347.0,1.2481128345162448e+16,6588853839923711.0,4111244129072520.0,3411637282778886.5,5.702246864026915e+19,1.3522505395549094e+16,5.27380141358008e+16,8.590272960576755e+16,2.8566559618933728e+17,4.560830096395451e+16,1.5563083132783034e+16,8876535814876533.0,6617125355590919.0,6150650585610888.0,1.6163859533352806e+16,9142353031181882.0,1.5973725691037732e+16,9064626240340756.0,6605252698270381.0,6054305201720159.0,1.5121656473423452e+19
744.16,-25759480502259.305,-12068004805420.996,-6529475702725.637,-6878539695471.688,-30394792815353.984,-14832061454143.137,-28975705643130.73,-13936729658047.738,-7757612910829.281,-6039395246011.547,-3007994545.1334505,73844219883394.16,2.315913590150186e+16,4.1180198267469734e+17,6.103248992005288e+16,1.6462673052860148e+16,8607744340128141.0,5398033313960236.0,5473605586898671.0,1.8515964371420084e+16,9916686046955092.0,1.7886210611223936e+16,9505051755483440.0,5993105364175609.0,5010878779325542.0,7.858683062415955e+19,1.5967171927636072e+16,6.22970832405558e+16,1.0142339106969376e+17,4.544476810590285e+17,6.5313508948067336e+16,2.243540764622501e+16,1.287932682034977e+16,9777782735948296.0,9064181500234704.0,2.314662547921465e+16,1.3147347537144768e+16,2.291474724337921e+16,1.3091728155276348e+16,9647758049964492.0,8906733546208640.0,2.248298937916765e+19
992.992,-37885149426021.67,-18203230558934.5,-10352278469367.008,-10795280089797.553,-44121121716552.4,-21940202312553.535,-42201018194603.336,-20778499706722.33,-11956873493092.219,-9526982864138.781,-20068974176.212486,63806411373653.03,2.6745736853698416e+16,6.191054523292323e+17,8.337843579995331e+16,2.2423126312598704e+16,1.1769139029365784e+16,7499497154689499.0,7601424735094557.0,2.5091041324617772e+16,1.3470484353765952e+16,2.4266976313216068e+16,1.2963318000337726e+16,8231169910970585.0,6922955428700106.0,1.0406009814760422e+20,1.847036935487248e+16,7.209581283018619e+16,1.1731191903875693e+17,6.838603203648018e+17,8.921569766711987e+16,3.0577778060410308e+16,1.7623101450898902e+16,1.3597507309417112e+16,1.2596155645524488e+16,3.1380191979542852e+16,1.7866275077262194e+16,3.110701689741213e+16,1.7864901552756648e+16,1.3266329811706636e+16,1.2315990301915634e+16,3.2761193503162712e+19
1291.5904,-52357426957220.06,-25556886537852.625,-15067159760962.074,-15645343359806.057,-60420641533873.71,-30407590782616.594,-57918407477098.01,-28989083230522.7,-17023536910477.97,-13770422670051.23,-120397067133.62866,55863227495297.58,3.043774682613669e+16,8.948791027633825e+17,1.103607528150469e+17,2.9432964109705664e+16,1.5478392613791126e+16,1.0009074486143508e+16,1.015952397758682e+16,3.2797924209339104e+16,1.7628749588272472e+16,3.1748543116101292e+16,1.7036477216215578e+16,1.0857651794835564e+16,9172694378107464.0,1.3394395136629365e+20,2.1059580560455108e+16,8.224459744712262e+16,1.3374192483371426e+17,9.895424250089819e+17,1.1806448738748779e+17,4.0150684444217384e+16,2.318689046069538e+16,1.815796964756507e+16,1.6837918665996994e+16,4.102821145063641e+16,2.3384689264821236e+16,4.071000333126386e+16,2.348325747128233e+16,1.7511708915499164e+16,1.6325225226071702e+16,4.7451207352060985e+19
1649.90848,-69469566828010.23,-34248687774364.074,-20772233419081.39,-21547157605951.04,-79630518270394.58,-40393242094213.42,-76443274283814.03,-38751481128581.055,-23016392804044.227,-18805365421533.43,-526465216261.8581,49370468302317.9,3.423879683224761e+16,1.2561983390369408e+18,1.427977020774041e+17,3.764780208485311e+16,1.9807448617859532e+16,1.2991316132760022e+16,1.321521042135552e+16,4.180593744878248e+16,2.247726401695628e+16,4.0491960049787224e+16,2.182342737678011e+16,1.3912775787730566e+16,1.179030028945646e+16,1.6864426723607563e+20,2.3741270548074756e+16,9.277308161960376e+16,1.5075314899992624e+17,1.3907581549490025e+18,1.5273200399990768e+17,5.1365824512097816e+16,2.967835122066833e+16,2.357614458749056e+16,2.190106566537926e+16,5.230211480326271e+16,2.9815925809001364e+16,5.192970678914756e+16,3.0082036381339076e+16,2.2447722049470796e+16,2.0987939379917308e+16,6.842662748756907e+19
2079.890176,-89611308837833.89,-44449107004645.31,-27621879770753.766,-28627800060872.92,-102184996364202.52,-52110586531600.445,-98181838174488.73,-50320389582758.836,-30012890085704.95,-24679338690225.1,-1703035735182.8723,43939626695491.54,3.81218407395379e+16,1.724072835339494e+18,1.8158995648459674e+17,4.725586714910248e+16,2.484360458380346e+16,1.652976004738821e+16,1.6828843965271762e+16,5.231776622946025e+16,2.8119562838407984e+16,5.068855536765064e+16,2.7448580316023176e+16,1.7437515678436878e+16,1.4803007077451952e+16,2.0840557490504312e+20,2.6501227680290948e+16,1.0363080346552936e+17,1.6825387188535824e+17,1.91125563037953e+18,1.9418374145937558e+17,6.447949068773867e+16,3.722856762544169e+16,3.000378286639979e+16,2.7888889068893076e+16,6.545506120858475e+16,3.72970046993214e+16,6.5010939683540824e+16,3.7831423331319896e+16,2.8139171844736996e+16,2.6353210770138148e+16,9.717835203441864e+19
2595.8682111999997,-113251512384830.42,-56366035353092.23,-35818288898957.25,-36959280421813.41,-128600933439574.61,-65818167984542.67,-123612329915794.12,-64019040733535.47,-38083683172999.43,-31422670178713.42,-4398541822091.248,39325288607139.51,4.20307429677026e+16,2.324352994928086e+18,2.2765471191399747e+17,5.8476374652985784e+16,3.068777018777121e+16,2.0726234431358124e+16,2.102699142046256e+16,6.456875606655538e+16,3.4676870369905264e+16,6.255740842276374e+16,3.4064677621816e+16,2.146526599141139e+16,1.822487295228543e+16,2.5333313608283636e+20,2.9304642902674104e+16,1.1468638373626986e+17,1.8602176960664672e+17,2.580286848210708e+18,2.4341605467433872e+17,7.979002185159746e+16,4.598934065759914e+16,3.762586804353664e+16,3.4852500635867664e+16,8.078077708979904e+16,4.59885040887374e+16,8.023372789873819e+16,4.6940075385432056e+16,3.4637902472219116e+16,3.2447573339179384e+16,1.3369373128001464e+20
