t(s),Flux surface 40: solute,Flux surface 41: solute,Flux surface 42: solute,Flux surface 43: solute,Flux surface 44: solute,Flux surface 45: solute,Flux surface 46: solute,Flux surface 47: solute,Flux surface 48: solute,Flux surface 49: solute,Flux surface 39: solute,Flux surface 22: solute,Total solute volume 7,Total solute volume 8,Total solute volume 9,Total solute volume 10,Total solute volume 11,Total solute volume 12,Total solute volume 13,Total solute volume 14,Total solute volume 15,Total solute volume 16,Total solute volume 17,Total solute volume 18,Total solute volume 19,Total solute volume 6,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total retention volume 8,Total retention volume 9,Total retention volume 10,Total retention volume 11,Total retention volume 12,Total retention volume 13,Total retention volume 14,Total retention volume 15,Total retention volume 16,Total retention volume 17,Total retention volume 18,Total retention volume 19,Total solute surface 21
100.0,-519717106526.21277,-161568341156.66812,-41252873278.07191,-57597214873.41041,-760749513464.3335,-291264396871.27454,-687441376671.4635,-244810300356.4056,-76538019859.74736,-39620591046.64929,-447238.4632968857,187859059140533.56,8367231498281767.0,2.5955629459329976e+16,6129612275073624.0,1461589051826730.8,735279911535152.5,428334778378791.7,440794996623005.8,1693373594984071.8,878560123957704.9,1623450835349052.8,829453624990497.1,496947141264327.8,402305177185774.9,1.0748508252316717e+19,5752043947813713.0,2.242451433336399e+16,3.654378977945952e+16,2.8571322264338332e+16,6553093233683969.0,1961668126433284.5,1080636999008089.2,762168135171874.1,716334514876891.9,2090093058269388.5,1147062604792914.2,2051281595680274.0,1123652714398450.4,783982370158438.1,702256321667217.4,2.4585344128798285e+18
220.0,-3544123766937.7476,-1289151150174.1494,-412813539532.63245,-533497407487.0789,-4850165567874.709,-2017254991347.7979,-4451901306377.938,-1762137882474.687,-674384339327.7963,-392469639728.7576,-8714715.320843108,135259986283989.05,1.2454895753459822e+16,7.424259173910765e+16,1.5449130128718428e+16,3863951763606686.0,1976387692339143.2,1177976659692391.2,1204578210201083.5,4412929913212968.0,2324407906264671.5,4246942290108755.0,2206952141483666.8,1349490641733064.0,1104090427302049.6,2.356860631983445e+19,8555426810869707.0,3.3346419467534068e+16,5.4356742031863576e+16,8.1763153441944e+16,1.6525878820661394e+16,5219426384356538.0,2928142646472823.5,2113027650354401.5,1974641244233270.8,5473232603151968.0,3054561371915960.0,5395633209726449.0,3011420615891410.0,2147979789655883.0,1943284373936155.8,5.606357486740199e+18
364.0,-9109875347843.168,-3820450044604.616,-1574471791081.5107,-1851175116636.3691,-11564235699997.324,-5307215462510.427,-10817518040765.26,-4798695928382.394,-2218242779453.4834,-1484892178236.6191,-81597523.22751677,105921117895993.98,1.6120295240676948e+16,1.4958567513764618e+17,2.7560505620645496e+16,7117678327701145.0,3683855321378942.0,2249577633632643.0,2284106346947625.5,8050227928010926.0,4274964637755000.5,7767182103689975.0,4079036239950281.0,2539743547494475.0,2102261525336596.0,3.884628462580717e+19,1.1083507132501348e+16,4.321078827108272e+16,7.041459064426091e+16,1.6483213906937552e+17,2.9490856797087868e+16,9650785379091696.0,5482620662991243.0,4055276113113101.5,3763749649552687.5,1.0014898198292484e+16,5637887879644637.0,9901344750347746.0,5588393817353492.0,4064611980694864.5,3718813307987062.5,9.698705110129762e+18
536.8,-17039830141043.574,-7677357540731.36,-3672071543202.9736,-4084967766097.5283,-20813057885210.95,-10004222427020.164,-19662956773711.758,-9224165735338.646,-4736054938463.465,-3439847502084.307,-540006951.3534663,87126893839289.03,1.964221007441783e+16,2.5906648137633203e+17,4.261783263568131e+16,1.1193075603061112e+16,5841126874972135.0,3644323454072236.0,3680184412259140.0,1.2564388072310798e+16,6706688820297433.0,1.2146213319833228e+16,6427229712037584.0,4058422891701325.0,3393045227524988.5,5.7021629527934435e+19,1.3522505395549088e+16,5.273801413580078e+16,8.590272960576752e+16,2.8566559063989635e+17,4.560830096395469e+16,1.5209752488354638e+16,8715549531854221.0,6588660517876119.0,6081977977547067.0,1.5658504903293758e+16,8862141388775665.0,1.5514404602155412e+16,8825350643797653.0,6516601732328405.0,6019576921260410.0,1.512165647342345e+19
744.16,-27131062691008.5,-12726004741826.469,-6656737833351.574,-7181443038910.373,-32376561991167.63,-15968063989101.469,-30771731866431.438,-14909075259903.965,-8137262793381.453,-6196179630381.816,-3612112202.165414,73844219883394.16,2.315913590150146e+16,4.118018871864936e+17,6.103248992005322e+16,1.6117503301543686e+16,8456767250592199.0,5373307657511066.0,5410113939067327.0,1.7986343645233232e+16,9631751137542580.0,1.7413045971178588e+16,9267079170429312.0,5910540656672294.0,4980131593407499.0,7.858503763990743e+19,1.5967171927635774e+16,6.229708324055454e+16,1.0142339106969192e+17,4.544475337030346e+17,6.531350894806767e+16,2.1929694475817304e+16,1.2636958546934248e+16,9730953755115372.0,8954774741692948.0,2.2439335178178428e+16,1.2740972739739898e+16,2.2268405181764892e+16,1.2740912166570616e+16,9509740135280092.0,8849576281845450.0,2.248298937916761e+19
992.992,-39390098914959.55,-18931109079825.184,-10496056648844.174,-11137383035463.037,-46292548280358.7,-23192124120703.625,-44169334946864.49,-21852450526828.094,-12380467067621.205,-9704090546360.729,-26261533553.275,63806411373653.055,2.6745736853680504e+16,6.191042178542886e+17,8.337843579995384e+16,2.1967978657141972e+16,1.1563744887398836e+16,7463860988528313.0,7511808083396356.0,2.4403095815865776e+16,1.3092079114180118e+16,2.3650248120640956e+16,1.2644939817880386e+16,8116611569624146.0,6878708030571257.0,1.0405677874638019e+20,1.8470369354858148e+16,7.209581283012797e+16,1.1731191903866637e+17,6.838584352030313e+17,8.92156976671204e+16,2.991333533543873e+16,1.729459156264038e+16,1.3530268413989962e+16,1.2442261297788946e+16,3.0464356994674708e+16,1.732852114493743e+16,3.0267155052584668e+16,1.7397116273599514e+16,1.3075437781383318e+16,1.2234044519890864e+16,3.2761193503158735e+19
1291.5904,-53992432376000.86,-26349768867797.297,-15225216895237.11,-16023888768640.738,-62779203760388.49,-31771039431274.082,-60056127972950.09,-30160746400903.17,-17486953217502.55,-13964887599385.309,-151731359790.80743,55863227495298.09,3.0437746825671908e+16,8.948708406879977e+17,1.1036075281504749e+17,2.8863476766107576e+16,1.5216299675321878e+16,9961776179388506.0,1.0042242309786118e+16,3.194578649246421e+16,1.7153392000593534e+16,3.098288597102403e+16,1.6634294303398986e+16,1.0709770272381996e+16,9114156809322082.0,1.3393836459964052e+20,2.1059580560075056e+16,8.224459744557221e+16,1.3374192483131944e+17,9.895299848808572e+17,1.1806448738748835e+17,3.932171822245382e+16,2.2768935797552564e+16,1.8068988636025708e+16,1.6637034119650054e+16,3.989666696139087e+16,2.2711095135071884e+16,3.966993051993261e+16,2.2893941166246284e+16,1.7265916949016162e+16,1.6217123513525838e+16,4.745120735185153e+19
1649.90848,-71236334037994.66,-35106296539118.02,-20944128434484.438,-21962774058576.42,-82178455530496.17,-41868781644140.87,-78752282586437.78,-40022107400277.96,-23519226873258.1,-19016362741891.62,-622551285723.1155,49370468302332.4,3.423879682555656e+16,1.2561634246872786e+18,1.427977020774045e+17,3.695870734500496e+16,1.9486337782017136e+16,1.2931712447759118e+16,1.3068972343242698e+16,4.0782019023630904e+16,2.190078976917524e+16,3.957055799572493e+16,2.133343634806971e+16,1.3730501142966598e+16,1.1716917884554456e+16,1.6863546523088447e+20,2.374127054254755e+16,9.277308159699774e+16,1.5075314896510192e+17,1.3907067313242063e+18,1.5273200399990797e+17,5.0365171055388296e+16,2.916754146601696e+16,2.3464275871333724e+16,2.165105678729613e+16,5.094536248334532e+16,2.9001012170879692e+16,5.06807200339897e+16,2.936569800896347e+16,2.2145401849535564e+16,2.085271715808869e+16,6.8426627481500164e+19
2079.890176,-91512689613066.72,-45372568342415.88,-27807915997623.016,-29081968097012.355,-104925501789465.14,-53700010618974.45,-100664899225293.25,-51692847109007.35,-30555988961697.273,-24906773245248.82,-1918661444442.3215,43939626695725.39,3.812184068773107e+16,1.7239630573787254e+18,1.8158995648459712e+17,4.644051081686966e+16,2.446070322284709e+16,1.6457154564868488e+16,1.6652477138647802e+16,5.11124184784236e+16,2.743670333319809e+16,4.960276577245051e+16,2.6865689535879508e+16,1.7219764105861974e+16,1.4714310901326668e+16,2.0839234841599145e+20,2.650122763756116e+16,1.036308032908132e+17,1.6825387161610493e+17,1.9110984845274767e+18,1.94183741459376e+17,6.3297970079408456e+16,3.6620751865783864e+16,2.986777144330954e+16,2.7587776851917e+16,6.3860869974716856e+16,3.633372050804581e+16,6.3541860999455624e+16,3.698096830009813e+16,2.777865059742584e+16,2.6190036045609628e+16,9.717835193014601e+19
2595.8682111999997,-115290306731900.3,-57356772905604.56,-36019050677440.78,-37452981213642.695,-131537223101096.11,-67523441558535.88,-126272002245072.17,-65496816508104.664,-38668106137496.875,-31666494213559.23,-4780549642025.509,39325288609425.11,4.203074272946912e+16,2.3240768010219407e+18,2.2765471191399824e+17,5.752665562436724e+16,3.023977316131439e+16,2.063981165443358e+16,2.081959896570113e+16,6.317035002571398e+16,3.3881226191870076e+16,6.129680797305057e+16,3.3382594799521388e+16,2.121091122079971e+16,1.8120463541129292e+16,2.533139438225079e+20,2.9304642708294756e+16,1.1468638294351941e+17,1.8602176838128342e+17,2.5799024518739666e+18,2.4341605467433942e+17,7.841637938660293e+16,4.527951546749968e+16,3.746423136364845e+16,3.449873418394177e+16,7.893431410665723e+16,4.486821030030953e+16,7.853099343661571e+16,4.59466582798858e+16,3.421742131352275e+16,3.2255720583878116e+16,1.336937301434458e+20
