t(s),Flux surface 40: solute,Flux surface 41: solute,Flux surface 42: solute,Flux surface 43: solute,Flux surface 44: solute,Flux surface 45: solute,Flux surface 46: solute,Flux surface 47: solute,Flux surface 48: solute,Flux surface 49: solute,Flux surface 39: solute,Flux surface 22: solute,Total solute volume 7,Total solute volume 8,Total solute volume 9,Total solute volume 10,Total solute volume 11,Total solute volume 12,Total solute volume 13,Total solute volume 14,Total solute volume 15,Total solute volume 16,Total solute volume 17,Total solute volume 18,Total solute volume 19,Total solute volume 6,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total retention volume 8,Total retention volume 9,Total retention volume 10,Total retention volume 11,Total retention volume 12,Total retention volume 13,Total retention volume 14,Total retention volume 15,Total retention volume 16,Total retention volume 17,Total retention volume 18,Total retention volume 19,Total solute surface 21
100.0,-74857627332.39337,-34704921106.42296,-17136134990.88582,-19128313740.927364,-93938484837.96924,-45905195840.065125,-88134721363.1322,-42011188592.37448,-22131821228.502464,-16394090052.2614,-447215.6469344933,187859059140533.6,8367231498281767.0,2.5955629459332468e+16,6129612275073623.0,1491447486922614.5,743166637493116.4,429615476531025.7,443023558511529.4,1741950771021594.2,895473242099638.2,1666277714078522.2,843059936467287.0,500196170849400.5,403559397510259.2,1.074852929317512e+19,5752043947813713.0,2.242451433336399e+16,3.654378977945952e+16,2.857132226434196e+16,6553093233683968.0,2006733970325651.0,1093628380267055.8,764686183106137.9,720311029383977.8,2156750316075661.5,1171805772404455.0,2111384371398779.5,1144190589169552.5,789584135337207.6,704678062922357.4,2.4585344128798285e+18
220.0,-221963059852.98825,-106850267609.96191,-57542058019.385086,-61577123936.654,-269921532914.819,-134628946293.14276,-255271649163.7888,-125044829862.87721,-70122833323.55602,-54472047879.82708,-8702789.517351711,135259986283989.02,1.2454895753459824e+16,7.424259174030131e+16,1.5449130128718408e+16,4149391305372708.0,2069005162252692.2,1201260466445715.5,1238422165004552.5,4841191968645587.0,2489813261322028.5,4631305337014617.0,2346279616141846.5,1394293464779530.8,1126607445913853.0,2.3568909908588708e+19,8555426810869707.0,3.334641946753407e+16,5.4356742031863576e+16,8.176315344377722e+16,1.6525878820661374e+16,5648413884356925.0,3080489049645622.0,2158764897568654.2,2035179452908280.5,6058313901394336.0,3295671659307683.5,5933246190757996.0,3221512570244479.5,2225562475520860.5,1986731740961365.0,5.606357486740199e+18
364.0,-399146996779.7579,-196398047995.64642,-112365500840.51157,-116951184250.04315,-478837658522.10333,-240678044258.27234,-454308237861.9238,-225490602975.95108,-131490767276.89305,-105470890062.22882,-80194751.3737677,105921117895993.98,1.6120295240676944e+16,1.4958567529278093e+17,2.756050562064527e+16,8142400968262913.0,4067156634376797.5,2376352274427812.0,2449219080310744.5,9476445848788812.0,4880526631958639.0,9070387485518038.0,4606625478961913.0,2745795655923314.5,2223808366035205.2,3.88480112588901e+19,1.1083507132501348e+16,4.321078827108271e+16,7.041459064426092e+16,1.6483213931155405e+17,2.9490856797087636e+16,1.1182038950400192e+16,6110468647684916.0,4303531561927439.5,4058857151877191.5,1.1953015956639748e+16,6515929049753721.0,1.1716059282427032e+16,6381074123554822.0,4421598569903151.0,3952624678549870.0,9.698705110129762e+18
536.8,-578592751193.1543,-287196920663.30426,-170924719563.043,-175108601702.38956,-694676583295.0647,-348272762003.4597,-658621065822.3112,-327488958856.7149,-194682699611.58002,-159276649838.73773,-473309194.34484446,87126893839289.03,1.9642210074417844e+16,2.590664900336958e+17,4.261783263567999e+16,1.3722956260947098e+16,6871561850401470.0,4048004948751486.0,4172083292379586.5,1.591551870838034e+16,8213217186838218.0,1.5245988361959222e+16,7769774368903964.0,4649924624527365.0,3777243161835480.0,5.702804491469756e+19,1.3522505395549096e+16,5.273801413580081e+16,8.590272960576757e+16,2.8566560417270512e+17,4.56083009639533e+16,1.8971448415877692e+16,1.0395991631225928e+16,7376185927782632.0,6959254469639071.0,2.0192567983529e+16,1.1036097358514534e+16,1.981418129966186e+16,1.0834832387368234e+16,7540182405180438.0,6755834596321215.0,1.5121656473423454e+19
744.16,-751739348091.4945,-372381789401.2343,-226803231899.69476,-230975142451.7817,-913365624330.7878,-453154039594.5185,-862725081641.2275,-426029272097.9527,-253952956012.80115,-209889829280.7826,-2040571511.2465272,73844219883394.16,2.3159135901502176e+16,4.1180213354168755e+17,6.103248992004854e+16,2.119215173397394e+16,1.0641927104390642e+16,6332577632349852.0,6529379388847014.0,2.447592947988013e+16,1.2660040624616296e+16,2.346930677706362e+16,1.2010824991429022e+16,7220998107411702.0,5886656386968311.0,7.860351488920474e+19,1.596717192763631e+16,6.229708324055677e+16,1.0142339106969533e+17,4.54447917039909e+17,6.5313508948062856e+16,2.94440811921451e+16,1.618664606414348e+16,1.1595691709046792e+16,1.0946156079302404e+16,3.1188255341002596e+16,1.7093228354825326e+16,3.064184419864945e+16,1.68337924035605e+16,1.1773824029526004e+16,1.0580560641156604e+16,2.2482989379167904e+19
992.992,-920452132907.8337,-450938882550.2374,-277473688924.05334,-283227806666.61194,-1141099561480.2358,-556999817203.3423,-1071436097746.8967,-522097650374.80493,-307625912055.14703,-254850261437.5878,-6940782587.656528,63806411373653.03,2.6745736853713584e+16,6.191079652285105e+17,8.33784357999424e+16,3.089575194063239e+16,1.555947047991811e+16,9368506499186022.0,9668848563771180.0,3.5523432574704052e+16,1.841704587037009e+16,3.409763515748143e+16,1.7533039804842378e+16,1.0587783046496096e+16,8665267540090683.0,1.041016773997412e+20,1.8470369354884084e+16,7.209581283023272e+16,1.173119190388303e+17,6.838642270308227e+17,8.921569766710859e+16,4.30879056995081e+16,2.3763910510604184e+16,1.7221297847476886e+16,1.6271522345493192e+16,4.541159843999022e+16,2.495572491963388e+16,4.467213369990588e+16,2.4667556726342076e+16,1.7338072610207108e+16,1.5634799858402376e+16,3.2761193503194124e+19
1291.5904,-1091065021793.3405,-524622084092.2187,-322665018139.6413,-332311966165.51825,-1388056862327.767,-663931727509.705,-1293667033412.413,-619331192792.9554,-355988182743.63354,-293599245395.30334,-19613474136.679756,55863227495296.93,3.0437746826553016e+16,8.949034573549198e+17,1.103607528150261e+17,4.323340012691193e+16,2.182867357027846e+16,1.3318467320917228e+16,1.3763693402382278e+16,4.948498071025972e+16,2.5709104437464336e+16,4.754544577105447e+16,2.4574672023752148e+16,1.4890742574445896e+16,1.2236251444034246e+16,1.3403509455687585e+20,2.105958056077807e+16,8.224459744842224e+16,1.3374192483575328e+17,9.895799482683016e+17,1.1806448738746622e+17,6.046551169139371e+16,3.3444490695061144e+16,2.4556957047501724e+16,2.3230721813143144e+16,6.341217697695788e+16,3.4930744828291676e+16,6.245268972412298e+16,3.4674592625919524e+16,2.4467125402985696e+16,2.2144505728447896e+16,4.745120735411881e+19
1649.90848,-1271768092878.363,-596402470408.9773,-363241087583.5912,-379009629619.5809,-1666056992584.1255,-779057437337.1228,-1539981441403.4133,-722554960175.6731,-400084001559.03436,-326351334200.915,-47801635806.16256,49370468302295.8,3.4238796839305508e+16,1.2563487942437806e+18,1.4279770207737149e+17,5.867539911253755e+16,2.968272595053446e+16,1.837404264147419e+16,1.900608450701566e+16,6.68687056467684e+16,3.4799038958519264e+16,6.430210636840461e+16,3.3421213424554628e+16,2.027864440392548e+16,1.672737494050387e+16,1.6882620800271748e+20,2.3741270553611636e+16,9.277308164195851e+16,1.507531490348754e+17,1.3909868273429821e+18,1.5273200399987392e+17,8.223833588653426e+16,4.5589120130285256e+16,3.396025990125732e+16,3.2153546920202948e+16,8.584395927287203e+16,4.737706900169038e+16,8.46296398007469e+16,4.725992120453527e+16,3.3408110311085932e+16,3.0344481706064748e+16,6.842662756172646e+19
2079.890176,-1471552490694.833,-669749471520.442,-400579435330.654,-423394365313.5388,-1987836110307.1926,-907925241860.7899,-1821740674345.924,-837220066689.6855,-441109777198.7428,-353453396724.9863,-103400417413.02805,43939626695048.58,3.8121840815442344e+16,1.724740220184423e+18,1.815899564845509e+17,7.778375701727862e+16,3.939115882844213e+16,2.4762052927680384e+16,2.558518453545118e+16,8.828701422236077e+16,4.5999244375306024e+16,8.495224500217498e+16,4.4421887958001736e+16,2.6902245812353756e+16,2.2261226145709024e+16,2.0874413311531834e+20,2.650122774013016e+16,1.0363080370747011e+17,1.682538722630433e+17,1.912251300647056e+18,1.9418374145932835e+17,1.0919661179452664e+17,6.061466841697415e+16,4.585435761710468e+16,4.336979671285124e+16,1.1349535865667352e+17,6.2721281120776536e+16,1.1197473966609717e+17,6.291871660230707e+16,4.441034560672032e+16,4.046138779477114e+16,9.717835362058181e+19
2595.8682111999997,-1699816512241.6167,-748264442907.6731,-436169018693.14874,-464176336914.55005,-2366978174673.5195,-1056363502115.0002,-2150909761654.564,-969240011158.3995,-480109376701.2759,-375058771992.06287,-203149955450.86417,39325288601342.195,4.203074350533591e+16,2.3266935559687757e+18,2.2765471191393267e+17,1.012351343272636e+17,5.126823897038507e+16,3.2750343763749536e+16,3.3642948568301156e+16,1.144804709886549e+17,5.96849506885542e+16,1.1019632121543563e+17,5.801001485114106e+16,3.490316920862204e+16,2.8939240815978004e+16,2.5393004078522702e+20,2.930464332488211e+16,1.1468638544189221e+17,1.860217722721104e+17,2.5837041818788337e+18,2.4341605467427194e+17,1.4229170321198307e+17,7.900737858374126e+16,6.073866920670115e+16,5.71362642678437e+16,1.473200287979015e+17,8.147613978550296e+16,1.4541247541512346e+17,8.226528267307317e+16,5.7706345502070344e+16,5.268531788934622e+16,1.3369375288059625e+20
