t(s),Flux surface 40: solute,Flux surface 41: solute,Flux surface 42: solute,Flux surface 43: solute,Flux surface 44: solute,Flux surface 45: solute,Flux surface 46: solute,Flux surface 47: solute,Flux surface 48: solute,Flux surface 49: solute,Flux surface 39: solute,Flux surface 22: solute,Total solute volume 7,Total solute volume 8,Total solute volume 9,Total solute volume 10,Total solute volume 11,Total solute volume 12,Total solute volume 13,Total solute volume 14,Total solute volume 15,Total solute volume 16,Total solute volume 17,Total solute volume 18,Total solute volume 19,Total solute volume 6,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total retention volume 8,Total retention volume 9,Total retention volume 10,Total retention volume 11,Total retention volume 12,Total retention volume 13,Total retention volume 14,Total retention volume 15,Total retention volume 16,Total retention volume 17,Total retention volume 18,Total retention volume 19,Total solute surface 21
100.0,-1329914706113.994,-595741631758.9109,-273988725060.00812,-316904909065.2389,-1722840610653.7747,-825520642904.2208,-1603413279240.4365,-745428836609.642,-371276584876.8997,-263668686329.92145,-5413392.483776524,187859059140533.56,8367231498281767.0,2.5955629111222124e+16,6129612275073627.0,1407454548273093.5,708539163504584.5,416065783899178.56,426017277164927.9,1623564338609744.0,841954023106249.1,1558429014955967.8,796247898250302.9,479713001482088.75,390301476212355.9,1.074846760764977e+19,5752043947813713.0,2.242451433336399e+16,3.654378977945952e+16,2.857132168847673e+16,6553093233683972.0,1879540411980643.2,1036109095196522.8,737843574992873.1,689475437140341.9,1993859002025479.8,1093126656273108.6,1959327150434102.5,1072857316510942.8,753551942134940.0,678877815196155.4,2.4585344128798285e+18
220.0,-4940389248394.09,-2301172186662.4585,-1149355169864.7954,-1277205291249.1326,-6155026023952.647,-3028280234585.3506,-5785962376109.0205,-2777928304492.7686,-1473339766937.4648,-1095627132276.9808,-117547014.50135785,135259986283989.05,1.2454895753459806e+16,7.424258223171515e+16,1.5449130128718484e+16,3709407512089612.5,1880451169705997.0,1121423458834067.4,1142072628859463.0,4245520305179068.5,2212975289626281.5,4083259554585979.5,2100429819643664.2,1279994272040117.0,1049186934985236.1,2.356837394518071e+19,8555426810869690.0,3.3346419467534e+16,5.435674203186347e+16,8.17631378497468e+16,1.6525878820661438e+16,4986965131244244.0,2769470375169954.0,2001516404245682.0,1861415122766044.8,5244188772857283.0,2891672945659112.0,5165405503153008.0,2849372500596833.5,2025499299448209.5,1836944019823183.0,5.606357486740199e+18
364.0,-10947167173843.543,-5245404522936.034,-2788050669922.385,-3011090805386.776,-13262465744358.361,-6648309426938.57,-12558088157141.062,-6171887035065.368,-3428481019710.409,-2637014644649.09,-1211630864.0924335,105921117895993.98,1.6120295240676244e+16,1.4958555115465024e+17,2.75605056206458e+16,6825776908197656.0,3484472948030964.5,2112663646217777.8,2140948995270057.2,7752305099775024.0,4060852049913553.5,7470822097998172.0,3869127805602372.5,2385076448316940.5,1970131693575841.2,3.884552180421684e+19,1.1083507132500744e+16,4.321078827108023e+16,7.041459064425711e+16,1.648319378022393e+17,2.94908567970882e+16,9214757531591238.0,5155074736503515.0,3786834592639474.0,3505498382478543.5,9609541635742028.0,5327066062042663.0,9486642837422956.0,5270967437517696.0,3792905622231103.0,3464361828726874.5,9.698705110129762e+18
536.8,-19167694347798.637,-9370297116500.613,-5219090269780.498,-5528571471892.29,-22766399734594.883,-11561492067036.244,-21668691378599.305,-10831021703583.34,-6220587762044.251,-4902772178896.313,-8010250813.945765,87126893839289.03,1.964221007440232e+16,2.5906544389688813e+17,4.261783263568236e+16,1.0742836703240792e+16,5516955425608450.0,3399184376553685.5,3432821118396394.5,1.211916085370234e+16,6374553551908058.0,1.1699207398966112e+16,6096539779183502.0,3796028813493083.0,3157668894023249.0,5.701975788172942e+19,1.352250539553587e+16,5.273801413574648e+16,8.590272960568466e+16,2.8566392639490822e+17,4.560830096395574e+16,1.454087393303036e+16,8185939374588006.0,6110422707056211.0,5637462982388168.0,1.5055495837501412e+16,8382609763618988.0,1.4891667259532028e+16,8327745953451690.0,6057141860100922.0,5568580280585370.0,1.5121656473423446e+19
744.16,-29488781975261.992,-14617947760722.842,-8437827271793.056,-8830265152952.23,-34536580027473.76,-17695355580040.777,-32990693685901.766,-16696961127452.16,-9817951468107.254,-7875106763474.484,-38674824775.46681,73844219883394.19,2.315913590128704e+16,4.1179565818463046e+17,6.103248992005552e+16,1.5497059445627238e+16,7995450418260955.0,5001424042913757.0,5043592517940662.0,1.7384702840017938e+16,9173296559904826.0,1.6805526066924016e+16,8805844736050819.0,5526719149513757.0,4624727599731310.0,7.85812086264605e+19,1.5967171927454064e+16,6.229708323980702e+16,1.0142339106854784e+17,4.5443767631672e+17,6.5313508948070104e+16,2.1011828116325304e+16,1.188654169674426e+16,9008380178559540.0,8298229706201382.0,2.162742615982698e+16,1.2081831779032034e+16,2.1425045647124764e+16,1.2049570725397318e+16,8839527721928076.0,8171362280101144.0,2.2482989379167396e+19
992.992,-41958546321181.08,-20996476806106.766,-12465263770625.105,-12960329168914.14,-48645378953704.766,-25074902269414.586,-46586087583793.2,-23804417255347.254,-14224505902280.389,-11554512697611.494,-146972245573.49866,63806411373653.94,2.674573685163159e+16,6.190762619822843e+17,8.337843579995757e+16,2.116916915313577e+16,1.095750007895714e+16,6953182722077383.0,7016456661499033.0,2.3638424491301308e+16,1.2501758117492686e+16,2.2875198066429784e+16,1.2046622996079062e+16,7603013911770914.0,6392928636533790.0,1.0404984188521891e+20,1.8470369353132704e+16,7.209581282303902e+16,1.1731191902780354e+17,6.838148757336237e+17,8.921569766712434e+16,2.8735514049238336e+16,1.6311785358405318e+16,1.2541174812507498e+16,1.1557200277659014e+16,2.9435429049572056e+16,1.6482589945562764e+16,2.9194309191892196e+16,1.650309241449202e+16,1.218070361041304e+16,1.1309980993285222e+16,3.276119350313904e+19
1291.5904,-56769724803040.59,-28582818556794.59,-17368465042865.988,-18015795856139.89,-65323828600500.39,-33807445932097.082,-62669257217139.8,-32275078914800.953,-19484775910300.516,-15971257252221.213,-461797178755.93976,55863227495313.92,3.0437746811518064e+16,8.947745901024809e+17,1.1036075281505214e+17,2.7878403851006052e+16,1.4458677540299302e+16,9303478257770164.0,9410706644923790.0,3.10110946726711e+16,1.6425801217169168e+16,3.003311456927656e+16,1.5892706551929112e+16,1.0060455182414484e+16,8491080467575234.0,1.3392681591478467e+20,2.1059580548252996e+16,8.224459739709234e+16,1.3374192475686275e+17,9.8938279796832e+17,1.1806448738749312e+17,3.787320157787525e+16,2.1544145517243916e+16,1.6797205187966312e+16,1.55109247978762e+16,3.864198629971417e+16,2.1671278942819884e+16,3.835837804919647e+16,2.1788691031254364e+16,1.6136993185027364e+16,1.5034834676524e+16,4.745120735087928e+19
1649.90848,-74226432983783.16,-37508844016240.33,-23263253030825.793,-24130145467256.94,-84917795687766.95,-44061086653108.87,-81564737251144.84,-42302660038335.266,-25671005135882.715,-21176286499345.223,-1242338552472.5015,49370468302530.98,3.423879675394993e+16,1.2558987938296271e+18,1.4279770207740934e+17,3.5777997396779796e+16,1.857037242771809e+16,1.2117774203735138e+16,1.2294455730555654e+16,3.966870537924973e+16,2.1029438524845396e+16,3.8437327237387144e+16,2.0441245516495336e+16,1.2940151837326318e+16,1.095097323862592e+16,1.686173667359591e+20,2.374127048338754e+16,9.27730813550141e+16,1.5075314859235155e+17,1.3903110010921216e+18,1.5273200399991306e+17,4.863299729432097e+16,2.76902617875347e+16,2.1895026327970844e+16,2.0272185605610148e+16,4.945399762925048e+16,2.7758621860997412e+16,4.911907161528044e+16,2.803892812073426e+16,2.077365375472778e+16,1.940217838895562e+16,6.842662745453639e+19
2079.890176,-94720778397866.62,-47948542164940.74,-30312099640525.54,-31434700781397.35,-107863249066049.0,-56051377261298.16,-103680347211942.16,-54145224661501.06,-32864746475151.95,-27222116362257.066,-2937614525625.914,43939626697456.79,3.81218404181445e+16,1.7233554344072704e+18,1.815899564846021e+17,4.505266774998866e+16,2.3378128986701784e+16,1.5478984701359054e+16,1.5728295691759398e+16,4.980992242854244e+16,2.641361103346646e+16,4.82753735315407e+16,2.58138249259065e+16,1.6282962754052386e+16,1.3800338701687726e+16,2.0836521505498137e+20,2.65012274181464e+16,1.0363080239655226e+17,1.6825387023284304e+17,1.91021114904427e+18,1.9418374145938112e+17,6.126607554845786e+16,3.487836267103087e+16,2.79850851135864e+16,2.5944437763195544e+16,6.211927089491642e+16,3.4877944157827828e+16,6.1716032200820776e+16,3.541979519253325e+16,2.6155239406206544e+16,2.446183267253141e+16,9.717835147913414e+19
2595.8682111999997,-118721305676961.0,-60110348941734.01,-38721008575055.43,-39999378754682.87,-134677020248123.12,-70037091899895.266,-129493741387799.06,-68127359626360.32,-41136529812551.15,-34138970433924.33,-6233616009197.319,39325288620301.84,4.203074193586178e+16,2.322862486271551e+18,2.276547119140036e+17,5.591795524628165e+16,2.8980872203979144e+16,1.9487705612954412e+16,1.9739849618102084e+16,6.166618261265161e+16,3.2696900590534264e+16,5.97626001087204e+16,3.2160096842235184e+16,2.0122150288687596e+16,1.7053716049568366e+16,2.5327459576108843e+20,2.930464207459402e+16,1.1468638037279947e+17,1.860217643832553e+17,2.5781692660728796e+18,2.434160546743449e+17,7.60654846916785e+16,4.325706435167079e+16,3.5249942914820516e+16,3.2580387220184428e+16,7.69263780861172e+16,4.318610481098114e+16,7.642425132911976e+16,4.413540875091045e+16,3.2333342938166464e+16,3.0241064572183216e+16,1.3369372528110646e+20
