t(s),Flux surface 40: solute,Flux surface 41: solute,Flux surface 42: solute,Flux surface 43: solute,Flux surface 44: solute,Flux surface 45: solute,Flux surface 46: solute,Flux surface 47: solute,Flux surface 48: solute,Flux surface 49: solute,Flux surface 39: solute,Flux surface 22: solute,Total solute volume 7,Total solute volume 8,Total solute volume 9,Total solute volume 10,Total solute volume 11,Total solute volume 12,Total solute volume 13,Total solute volume 14,Total solute volume 15,Total solute volume 16,Total solute volume 17,Total solute volume 18,Total solute volume 19,Total solute volume 6,Total solute surface 21
100.0,-793322976109.2916,-311865144755.2811,-158720239324.4119,-154483934756.51663,-932528039995.5065,-375508509255.9,-890329970311.8531,-353226806373.80005,-181809029700.53915,-141825276503.20065,-61247073.39209402,119345851815206.62,1.6356217050246366e+16,2.751852952488127e+16,6271810147379504.0,1703376758396189.2,900850076090450.8,580659111819414.8,570107420881709.0,1896285860163729.5,1016348658137016.4,1838111137598220.8,976107375174572.4,632482913765998.1,540335989259274.0,1.0751473625950102e+19,2.4598745072924785e+18
220.0,-4331142296154.798,-1931003157707.2302,-1076783641761.6051,-1054793638298.0269,-5002937754017.616,-2275595496962.755,-4798957086772.354,-2155486785014.29,-1211227374334.3662,-976168307065.1414,-701105273.5821624,73239364756837.78,2.5306453838237052e+16,7.879655408475222e+16,1.5729458845940564e+16,4428198504227563.0,2360057472217175.0,1533540374630159.5,1507225698047816.0,4918566875508353.0,2656521263186835.0,4770160282936517.0,2553666957218735.5,1665529047619500.2,1426632548643113.8,2.357714526313421e+19,5.610336995647857e+18
364.0,-10532842391811.22,-4993857124999.572,-2932230187703.302,-2888203369578.2295,-12056533051028.914,-5818088651478.421,-11593337705776.31,-5532002453060.094,-3261778613913.695,-2679454525911.8545,-5098826917.686682,54082045448948.8,3.288028570920793e+16,1.5892245739586934e+17,2.7958347533393988e+16,7983451811904606.0,4272472034660304.0,2793400708262374.0,2748888107034134.0,8849330270759774.0,4798606767925613.0,8586860897935173.0,4616952172772079.0,3023783093138201.0,2595087444650795.0,3.8863472303477146e+19,9.707115520915319e+18
536.8,-18890072030846.188,-9233002270772.12,-5576336194009.525,-5516369410726.831,-21508622133802.133,-10687198929799.42,-20712200175701.668,-10185113277404.078,-6155256343517.736,-5107887725482.699,-34941288251.770065,43313386723193.68,3.969440865954298e+16,2.755043755377486e+17,4.3118009310579704e+16,1.2308105542313572e+16,6598591544774356.0,4334644871786375.0,4273653041986717.5,1.3619868965319374e+16,7397744525701963.0,1.3222037358318302e+16,7123545366933384.0,4674841641475134.0,4016842383807631.5,5.70511221489939e+19,1.5137121072486971e+19
744.16,-29180107273827.598,-14497829977111.3,-8907147630551.385,-8850733191576.602,-33114169994220.684,-16715317250738.258,-31917733717858.344,-15955064738367.225,-9767381031170.486,-8150852356902.66,-179883246041.96326,36211984498728.87,4.582465369163893e+16,4.3826030448229504e+17,6.162603254051643e+16,1.7435632764064202e+16,9352709274661332.0,6169733218558902.0,6100462524887481.0,1.9266815830470908e+16,1.0470099334022576e+16,1.871154097687655e+16,1.0089929132020388e+16,6624721852327560.0,5696431971768592.0,7.863128261122517e+19,2.2509553722229244e+19
992.992,-41487343513652.28,-20818101831961.59,-12950243038245.857,-12937007512917.438,-46971329216415.22,-23939763462452.047,-45304350098417.69,-22879720174890.36,-14103019562514.438,-11809869532187.81,-635120379841.9846,31134239781348.527,5.118573076024806e+16,6.590928312989495e+17,8.405965460293475e+16,2.345704119029603e+16,1.2581747009744374e+16,8336459962562557.0,8276370164956170.0,2.5889589832085028e+16,1.4068021661404242e+16,2.5152407598953236e+16,1.3568127008639816e+16,8901278391930142.0,7658002377100881.0,1.0412533256372878e+20,3.2805136001455542e+19
1291.5904,-56045252867105.664,-28308879733177.7,-17798243453940.965,-17893987533113.6,-63342147160144.23,-32493147023338.617,-61125717619374.01,-31090620400014.402,-19222084143630.586,-16135598586166.264,-1688903492934.5918,27385011030370.047,5.567412490314283e+16,9.524129324104159e+17,1.1112445950405128e+17,3.0502978190109732e+16,1.6354573482212618e+16,1.0891515065850484e+16,1.086957349496206e+16,3.36304097889059e+16,1.826797385757692e+16,3.2683437424524188e+16,1.76343978200092e+16,1.1543808117393054e+16,9935967020148462.0,1.3403630690335526e+20,4.752134558051985e+19
1649.90848,-73182917821522.16,-37137930900844.55,-23590186855844.48,-23884933937141.87,-82593676559861.81,-42567119692499.055,-79737074849127.88,-40778856061027.945,-25206762820756.227,-21197318977595.98,-3705528473777.6074,24626240400922.17,5.923598699230569e+16,1.335700819536527e+18,1.4363720693449126e+17,3.873440452926709e+16,2.0756259114792132e+16,1.3907595449685364e+16,1.3962018958906312e+16,4.266437798602082e+16,2.31644140191742e+16,4.147522762157391e+16,2.238363288009783e+16,1.4594947389740244e+16,1.2566893822222072e+16,1.687719708163804e+20,6.853204345015419e+19
2079.890176,-93300235374115.6,-47510573265137.625,-30504023049407.387,-31084831721367.953,-105172198154894.1,-54396624092562.09,-101568847313941.27,-52180680241060.914,-32138110591837.594,-27058756544087.414,-7133332966476.447,22657684107364.305,6.189415646831899e+16,1.8303032414655396e+18,1.824962650464759e+17,4.833928249227028e+16,2.588604469248744e+16,1.7473646749608028e+16,1.763645919186923e+16,5.3196432206443464e+16,2.8867998759909424e+16,5.17266140920475e+16,2.7928005821102436e+16,1.809343883873074e+16,1.5581375381509014e+16,2.085794983969314e+20,9.732221437446555e+19
2595.8682111999997,-116860254038068.39,-59665223492669.11,-38757800815903.72,-39629913787569.69,-131596751153098.88,-68256388615182.02,-127118540083966.84,-65575360325336.586,-40076570829220.875,-33755938090600.984,-12579441515082.602,21323330696439.508,6.374625263477162e+16,2.462414058810068e+18,2.286177178919175e+17,5.953223009097678e+16,3.185727241481278e+16,2.1696971286879412e+16,2.1953087148338396e+16,6.546172842759414e+16,3.550608593232724e+16,6.366425912900317e+16,3.4398054409262212e+16,2.206646205984662e+16,1.89948971142717e+16,2.5356757311628005e+20,1.3386702123264723e+20
3215.0418534399996,-144388653851275.56,-73873596005531.61,-48613292214872.695,-49546200638225.445,-162460730236552.2,-84462763456379.5,-156950415373804.16,-81289088071428.58,-49044223456050.055,-41276312270487.94,-20895311433242.742,20477332906637.75,6.494253869350362e+16,3.2641190026380426e+18,2.828135930537268e+17,7.25554268399371e+16,3.879820737490918e+16,2.6705323551687576e+16,2.691616697415215e+16,7.972751362424494e+16,4.322431329528703e+16,7.754367995020195e+16,4.194522221589399e+16,2.652198943779583e+16,2.2798669750635064e+16,3.038571094855318e+20,1.7614424248373903e+20
