t(s),Flux surface 40: solute,Flux surface 41: solute,Flux surface 42: solute,Flux surface 43: solute,Flux surface 44: solute,Flux surface 45: solute,Flux surface 46: solute,Flux surface 47: solute,Flux surface 48: solute,Flux surface 49: solute,Flux surface 39: solute,Flux surface 22: solute,Total solute volume 7,Total solute volume 8,Total solute volume 9,Total solute volume 10,Total solute volume 11,Total solute volume 12,Total solute volume 13,Total solute volume 14,Total solute volume 15,Total solute volume 16,Total solute volume 17,Total solute volume 18,Total solute volume 19,Total solute volume 6,Total solute surface 21
100.0,-793322976109.2916,-311865144755.2811,-158720239324.41187,-154483934756.51666,-932528039995.5065,-375508509255.9001,-890329970311.8531,-353226806373.8,-181809029700.53915,-141825276503.20065,-1449190.1075139737,-5.635014978102932e-05,20.65395993053718,2.7510188308424804e+16,6271810147379504.0,1703376758396189.0,900850076090450.8,580659111819414.8,570107420881709.0,1896285860163729.5,1016348658137016.2,1838111137598220.8,976107375174572.4,632482913765998.1,540335989259274.06,1.0751473625950102e+19,2.4598745072924785e+18
220.0,-4331142296154.7964,-1931003157707.2302,-1076783641761.6051,-1054793638298.0269,-5002937754017.617,-2275595496962.756,-4798957086772.354,-2155486785014.2905,-1211227374334.366,-976168307065.1416,-23896096.56537931,-0.004933689433387637,1163.8481216738767,7.872487785445776e+16,1.5729458845940564e+16,4428198504227563.0,2360057472217175.0,1533540374630159.5,1507225698047816.0,4918566875508353.0,2656521263186835.0,4770160282936517.0,2553666957218735.5,1665529047619500.2,1426632548643113.8,2.357714526313414e+19,5.610336995647857e+18
364.0,-10532842391811.219,-4993857124999.574,-2932230187703.3027,-2888203369578.2295,-12056533051028.916,-5818088651478.421,-11593337705776.31,-5532002453060.097,-3261778613913.6943,-2679454525911.8545,-197317969.5420048,-0.18091212615624147,29268.84925082117,1.5860845702011526e+17,2.7958347533393988e+16,7983451811904607.0,4272472034660304.0,2793400708262374.0,2748888107034134.0,8849330270759774.0,4798606767925613.0,8586860897935173.0,4616952172772078.0,3023783093138201.0,2595087444650795.0,3.886347230347418e+19,9.707115520915319e+18
536.8,-18890072030846.184,-9233002270772.12,-5576336194009.524,-5516369410726.831,-21508622133802.133,-10687198929799.422,-20712200175701.664,-10185113277404.078,-6155256343517.735,-5107887725482.7,-1350329800.1895666,-3.7747799815654286,444413.49812391156,2.7455683509739475e+17,4.3118009310579704e+16,1.230810554231357e+16,6598591544774356.0,4334644871786375.0,4273653041986717.5,1.3619868965319374e+16,7397744525701963.0,1.3222037358318302e+16,7123545366933384.0,4674841641475134.0,4016842383807631.5,5.705112214892388e+19,1.5137121072486971e+19
744.16,-29180107273827.582,-14497829977111.305,-8907147630551.387,-8850733191576.6,-33114169994220.633,-16715317250738.26,-31917733717858.305,-15955064738367.225,-9767381031170.488,-8150852356902.656,-10872598475.311554,-51.24322404632007,4640637.637834138,4.360285228059862e+17,6.162603254051643e+16,1.7435632764064198e+16,9352709274661332.0,6169733218558902.0,6100462524887481.0,1.926681583047088e+16,1.0470099334022576e+16,1.8711540976876536e+16,1.0089929132020388e+16,6624721852327560.0,5696431971768592.0,7.863128261015583e+19,2.2509553722229244e+19
992.992,-41487343513651.85,-20818101831961.59,-12950243038245.854,-12937007512917.436,-46971329216413.44,-23939763462452.047,-45304350098416.68,-22879720174890.36,-14103019562514.44,-11809869532187.81,-78313910697.84857,-489.17275388734504,35886626.46974392,6.546956379906452e+17,8.405965460293475e+16,2.3457041190295748e+16,1.2581747009744374e+16,8336459962562557.0,8276370164956170.0,2.5889589832083916e+16,1.4068021661404242e+16,2.5152407598952616e+16,1.356812700863982e+16,8901278391930142.0,7658002377100881.0,1.0412533255231393e+20,3.2805136001455542e+19
1291.5904,-56045252867092.17,-28308879733177.7,-17798243453940.97,-17893987533113.6,-63342147160096.15,-32493147023338.625,-61125717619345.2,-31090620400014.402,-19222084143630.586,-16135598586166.266,-379330666720.21576,-3458.1381873810897,215765837.20386595,9.448304722346446e+17,1.1112445950405128e+17,3.0502978190101544e+16,1.6354573482212618e+16,1.0891515065850484e+16,1.086957349496206e+16,3.3630409788877532e+16,1.826797385757692e+16,3.268343742450705e+16,1.76343978200092e+16,1.1543808117393056e+16,9935967020148462.0,1.3403630681344963e+20,4.752134558051985e+19
1649.90848,-73182917821243.17,-37137930900844.55,-23590186855844.48,-23884933937141.87,-82593676558981.97,-42567119692499.05,-79737074848576.48,-40778856061027.94,-25206762820756.22,-21197318977595.984,-1275154036637.8984,-18822.74202676134,1046677285.6001914,1.3238865745299679e+18,1.4363720693449126e+17,3.873440452910571e+16,2.0756259114792132e+16,1.3907595449685364e+16,1.3962018958906312e+16,4.266437798552438e+16,2.31644140191742e+16,4.147522762126052e+16,2.238363288009783e+16,1.4594947389740244e+16,1.256689382222207e+16,1.687719702701629e+20,6.853204345015419e+19
2079.890176,-93300235370061.3,-47510573265137.625,-30504023049407.387,-31084831721367.957,-105172198143431.34,-54396624092562.09,-101568847306454.14,-52180680241060.914,-32138110591837.6,-27058756544087.402,-3312824133091.3145,-81483.8425659012,4226215358.1811495,1.8132787221849068e+18,1.824962650464759e+17,4.833928249001369e+16,2.588604469248744e+16,1.7473646749608028e+16,1.763645919186923e+16,5.3196432200218904e+16,2.8867998759909424e+16,5.1726614087953096e+16,2.7928005821102436e+16,1.809343883873074e+16,1.5581375381509016e+16,2.0857949574068617e+20,9.732221437446555e+19
2595.8682111999997,-116860253994672.48,-59665223492669.11,-38757800815903.73,-39629913787569.69,-131596751042164.9,-68256388615182.02,-127118540008534.23,-65575360325336.59,-40076570829220.875,-33755938090600.99,-7240356320895.025,-288534.39190446556,14582524470.604198,2.439329847977849e+18,2.286177178919175e+17,5.9532230067587416e+16,3.185727241481278e+16,2.169697128687941e+16,2.1953087148338396e+16,6.546172836923545e+16,3.5506085932327236e+16,6.3664259089040856e+16,3.4398054409262212e+16,2.206646205984662e+16,1.89948971142717e+16,2.535675624603389e+20,1.3386702123264723e+20
