t(s),Flux surface 40: solute,Flux surface 41: solute,Flux surface 42: solute,Flux surface 43: solute,Flux surface 44: solute,Flux surface 45: solute,Flux surface 46: solute,Flux surface 47: solute,Flux surface 48: solute,Flux surface 49: solute,Flux surface 39: solute,Flux surface 22: solute,Total solute volume 7,Total solute volume 8,Total solute volume 9,Total solute volume 10,Total solute volume 11,Total solute volume 12,Total solute volume 13,Total solute volume 14,Total solute volume 15,Total solute volume 16,Total solute volume 17,Total solute volume 18,Total solute volume 19,Total solute volume 6,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total retention volume 8,Total retention volume 9,Total retention volume 10,Total retention volume 11,Total retention volume 12,Total retention volume 13,Total retention volume 14,Total retention volume 15,Total retention volume 16,Total retention volume 17,Total retention volume 18,Total retention volume 19,Total solute surface 21
100.0,-399234952651.9967,-121306427180.15474,-38200220664.25765,-47201188651.22254,-574455785081.3901,-195468739595.37302,-520895073205.1129,-169055289897.84793,-60085634955.54125,-35920162492.25495,-446875.8579946696,-3.1925566965805804e-08,2.544890789323518,2.595557876319209e+16,6129597052384318.0,1469622393993322.0,737990658589211.1,428493560846579.3,441391959835865.7,1706981959643082.2,885311846828486.9,1635470875052731.2,834346728332925.2,497914828092016.0,402505069598782.0,1.0748516322861302e+19,1.5120328827002791,5.64591730567862,9.702840977702401,2.857127368222795e+16,6553074746810637.0,1973760937753579.8,1085033888889921.9,762473730723993.0,717387244884865.9,2108728596165028.8,1156906694053849.2,2068092011962956.0,1131048224826480.2,785623353177825.4,702634838014730.2,2.458751596648438e+18
220.0,-2851226463728.2197,-1040872417834.4554,-382898860841.7262,-450028659116.4296,-3741479580717.5566,-1504903780417.7517,-3471062057986.058,-1342891429513.872,-556159073707.4586,-356296133979.686,-8688949.39227876,-6.558935609139964e-06,158.89145883697586,7.424220844475488e+16,1.544903644758813e+16,3924882639891365.5,1997702920762045.8,1179982900740122.5,1210767193265973.0,4518501895173062.0,2371935424949969.0,4339256081152783.5,2243051928694619.2,1358542187511235.8,1106569383159646.5,2.3568688480307073e+19,94.89088548524285,354.87798888213206,608.660333204351,8.176277048548291e+16,1.6525770575251744e+16,5310560389182351.0,2962745749169610.5,2116885042855803.2,1985503505698124.2,5616844679176744.0,3123523355532377.0,5523898884681825.0,3065686581647855.5,2163323473139221.2,1947970759128508.8,5.607322635791221e+18
364.0,-8092613817138.704,-3379757416305.072,-1502709550457.6467,-1670241167496.5745,-10054691942341.453,-4497669993617.225,-9459767586163.498,-4111589450565.1226,-1979589130513.823,-1397093389765.3713,-80525115.71056984,-0.0005114071950899452,4400.8007310106805,1.4958347486178138e+17,2.756014331143558e+16,7259089547380516.0,3741542574061273.5,2256529769383243.0,2303586191677908.5,8282465289022070.0,4390716881457565.0,7973103843812854.0,4168140015832611.0,2566462462533667.0,2110880588562757.8,3.884661324816766e+19,2641.9834797094,9896.488592898382,16939.272803618373,1.6482986492706624e+17,2.949045360226468e+16,9860469587005382.0,5575610460363487.0,4068566193626239.5,3797759499514901.0,1.0328143805583268e+16,5804528235383148.0,1.0185191207867002e+16,5721584247257040.0,4109715932125125.5,3735021761454684.0,9.701353147638116e+18
536.8,-15814748092805.822,-7115668276444.444,-3566891110443.039,-3830705957925.6226,-19038359785731.5,-9010312637252.9,-18061121576179.84,-8360167961019.872,-4411245743157.468,-3310387192426.0264,-506384146.2508866,-0.020961822242432752,73199.28329686128,2.59055643486139e+17,4.26167036517297e+16,1.1429814256794886e+16,5948685087661949.0,3658945513758805.0,3718956701761049.0,1.2941317827758904e+16,6907650659617725.0,1.2484135065974778e+16,6580530714584470.0,4109520507511607.5,3411159692479777.5,5.702250942087267e+19,44178.60645059148,165756.89387586655,283134.78362331935,2.8565415195133165e+17,4.560708060174862e+16,1.5558629256830578e+16,8887609236366727.0,6616437762484912.0,6149367317585355.0,1.6163977163078276e+16,9149569439876302.0,1.5977563030973728e+16,9053623931503860.0,6602502558279406.0,6053456297451141.0,1.5127561570349961e+19
744.16,-25748689511836.965,-12092424936860.04,-6528675018133.131,-6875696691295.45,-30395606521172.156,-14849830339656.33,-28986705523402.875,-13909005729490.418,-7752173931279.163,-6038001446655.579,-2958638229.5487995,-0.5240395105359881,834087.4010322122,4.117577035310784e+17,6.10294209092937e+16,1.6455833772919052e+16,8624702546182546.0,5397318686675425.0,5471525304060601.0,1.85167034490541e+16,9928522656234722.0,1.7893252296719184e+16,9486730163645626.0,5988905942793137.0,5009696461092288.0,7.858692111464327e+19,506093.9630513031,1901970.748372238,3242152.1124557494,4.544003377115374e+17,6.531026246125724e+16,2.2426146523996524e+16,1.2903609689007984e+16,9776304827911808.0,9061200669182328.0,2.3147606406402372e+16,1.3163190309358882e+16,2.292376859415308e+16,1.3067456182735328e+16,9641094947633732.0,8904612922768161.0,2.2494816503224545e+19
992.992,-37862514126564.1,-18256489060935.16,-10350625875558.473,-10789601874589.832,-44123726186967.14,-21978646526938.797,-42225364318807.94,-20717724319552.793,-11943504072174.062,-9523671955078.725,-19760239560.937626,-8.743581797218006,7031304.7250814475,6.189561537186003e+17,8.337094065516816e+16,2.2409629345462908e+16,1.1802843016740144e+16,7498242317763083.0,7597815661750707.0,2.5092634284503484e+16,1.3493935106209656e+16,2.428114195523929e+16,1.2926268159262894e+16,8221941363004395.0,6920511555158706.0,1.0406029390922808e+20,4288564.776179031,16142921.476286374,27462790.977546923,6.836991677045798e+17,8.920788661361525e+16,3.0559488144911348e+16,1.76714071284248e+16,1.359486545915777e+16,1.2591001810215906e+16,3.1382306316382956e+16,1.7897662213800662e+16,3.1125200848567284e+16,1.7815727167252448e+16,1.3251734223821276e+16,1.2311541521883946e+16,3.2783353179990483e+19
1291.5904,-52312851062628.45,-25662296987732.742,-15064514261543.803,-15639424304015.71,-60425480589562.37,-30482938530723.613,-57966302511727.14,-28866506607347.375,-16994174359261.965,-13763961505064.129,-118499188259.87566,-103.60845261574678,46154202.291613035,8.944547228603296e+17,1.1034413514217856e+17,2.9407762899781256e+16,1.5540810976073982e+16,1.000730402019984e+16,1.0156692762679548e+16,3.2800614856362692e+16,1.7671939142161048e+16,3.177489363645767e+16,1.6966021907726996e+16,1.0838966827219266e+16,9168391446530244.0,1.3394440175756155e+20,28284436.472508177,106624518.49421364,181063157.25833514,9.890804207042309e+17,1.1804732707728774e+17,4.011651072461812e+16,2.3276367310853556e+16,1.8154094457920628e+16,1.6834189593871198e+16,4.103182428783973e+16,2.344245459997043e+16,4.07438812288613e+16,2.3389602944106984e+16,1.748219732064744e+16,1.6317216657114014e+16,4.748999009401846e+19
1649.90848,-69386687054708.55,-34442713086842.555,-20769259225773.73,-21558651211845.895,-79637784099052.36,-40530375454052.664,-76531165060637.92,-38518768816330.305,-22957215767451.06,-18794934442533.582,-513860548005.37646,-912.9840727045805,244728127.3195026,1.255155297543641e+18,1.4276415797180285e+17,3.760283975084393e+16,1.991678683499399e+16,1.2989547396678366e+16,1.322458619331988e+16,4.1809787004927e+16,2.2552292680391904e+16,4.053843778235353e+16,2.169541762924232e+16,1.3877316608414846e+16,1.1783886106883384e+16,1.6864542212215744e+20,150554105.37302953,568230460.012228,963512692.7047615,1.3896133196903488e+18,1.5269750699336934e+17,5.130482334127825e+16,2.9835023690323536e+16,2.3571830758469068e+16,2.191650299443891e+16,5.230742225754827e+16,2.9916135297394228e+16,5.198954305942196e+16,2.9911663080786404e+16,2.2391708882727616e+16,2.0975576748875884e+16,6.848773357941515e+19
2079.890176,-89464098730866.47,-44786132963510.9,-27621312132698.504,-28712583310897.555,-102193538777623.02,-52345323442613.18,-98335144404295.83,-49897995671116.836,-29901233026267.266,-24665799540188.758,-1632393684292.0786,-6200.4932909331,1078417887.2170486,1.721810438707225e+18,1.815283293744855e+17,4.717850430127241e+16,2.5026458877086896e+16,1.652969228316508e+16,1.688281565153898e+16,5.232216112155917e+16,2.824343626904565e+16,5.0767241594644056e+16,2.7223909057153428e+16,1.7373559250508462e+16,1.4795209466373276e+16,2.0840862700807206e+20,665144865.7434072,2512478751.999423,4256041504.9598637,1.908754294844073e+18,1.9412032837819117e+17,6.437449471468143e+16,3.749034453611835e+16,3.0001968515528788e+16,2.797435621430121e+16,6.5461526861555e+16,3.746209689536141e+16,6.511236830418327e+16,3.7532087967984024e+16,2.8038000639255724e+16,2.63371972267451e+16,9.726047552399661e+19
2595.8682111999997,-112999362160676.6,-56923719627624.555,-35828912604454.72,-37243457823215.375,-128606139921146.47,-66198382032216.89,-123869049633242.64,-63278051629792.84,-37883725474715.77,-31409900110005.06,-4122228258688.703,-33412.6108882337,4043935760.406334,2.319958645184511e+18,2.275519041188276e+17,5.83471101312446e+16,3.0981522100833092e+16,2.073305047729331e+16,2.1193787147501476e+16,6.457143798283331e+16,3.4871809304720956e+16,6.268615349924842e+16,3.368074609891299e+16,2.1354608566007336e+16,1.8217941538084536e+16,2.5334048855192895e+20,2497008276.382246,9435508168.12467,15976452204.913227,2.575400984110147e+18,2.4330968810913226e+17,7.961454715534283e+16,4.640932667685587e+16,3.7635942224570776e+16,3.5116919266510436e+16,8.07860103114582e+16,4.624752730241374e+16,8.039987967199003e+16,4.642810290843523e+16,3.4462434973470536e+16,3.2431051143899228e+16,1.3378195942828124e+20
