t(s),Flux surface 40: solute,Flux surface 41: solute,Flux surface 42: solute,Flux surface 43: solute,Flux surface 44: solute,Flux surface 45: solute,Flux surface 46: solute,Flux surface 47: solute,Flux surface 48: solute,Flux surface 49: solute,Flux surface 39: solute,Flux surface 22: solute,Total solute volume 7,Total solute volume 8,Total solute volume 9,Total solute volume 10,Total solute volume 11,Total solute volume 12,Total solute volume 13,Total solute volume 14,Total solute volume 15,Total solute volume 16,Total solute volume 17,Total solute volume 18,Total solute volume 19,Total solute volume 6,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total retention volume 8,Total retention volume 9,Total retention volume 10,Total retention volume 11,Total retention volume 12,Total retention volume 13,Total retention volume 14,Total retention volume 15,Total retention volume 16,Total retention volume 17,Total retention volume 18,Total retention volume 19,Total solute surface 21
100.0,-3.7006553061177034e-19,-7.291207722815079e-50,5.993905646995163e-69,-2.322753423328732e-82,-5.312152716519429e-17,-2.476751310709166e-75,-1.1269726205632604e-17,-8.565318554360892e-48,-6.872603436430509e-85,-1.2193984220033513e-76,-354.90137436443104,187859059140533.6,8367231498281764.0,4436465440.890063,3.4471744417721365e-84,7.756921593913595e-15,1.5649913081637353e-45,-1.5419867745371344e-64,1.37691250745576e-77,1.0440639244774863e-12,4.650296711659515e-71,2.2700508922423575e-13,1.7887701899027214e-43,1.5069828196662446e-80,3.056376511229244e-72,0.16152418875589875,5752043947813712.0,2.2424514333363988e+16,3.654378977945951e+16,4724181335.87269,3.5605948530076366e-84,1.0999045228085435e-14,2.3166378987251097e-45,-2.821003680451176e-64,2.5453928718347155e-77,1.3632227615340504e-12,5.786972321679028e-71,3.0072450624996913e-13,2.5074696291168905e-43,2.276599236509506e-80,5.453083515635041e-72,1.1155545614661308e-87
220.0,-1.8137503384731758e-15,-1.7290950719417153e-43,-4.484696156521444e-63,-7.498381231733883e-74,-1.456697296409566e-13,-1.085104508471612e-64,-3.5225992316587956e-14,-9.609804993163669e-42,2.5812003402753815e-77,-1.4405510993635156e-69,-20677.569372772043,135259986283989.03,1.2454895753459664e+16,109024620267.72398,6.169172664884914e-76,3.68579391535085e-11,3.573031361452232e-39,-5.809129911794951e-60,3.0736452063952033e-69,2.807965459430346e-09,2.0107518622860891e-60,6.947232917161018e-10,1.9457339023763427e-37,-6.238893988434622e-73,3.312534376671313e-65,38.00722809472231,8555426810869614.0,3.334641946753371e+16,5.435674203186295e+16,116395480774.24944,6.391900445449461e-76,5.242420611300078e-11,5.310332257425618e-39,2.97767043802796e-59,5.711194342970686e-69,3.676150154948163e-09,2.513804196881911e-60,9.235116173377521e-10,2.733242252505011e-37,-1.1444277889933254e-72,5.911624004315573e-65,5.0711162349772314e-77
364.0,-2.1296137073302762e-12,-4.3448085186376017e-38,-1.2792350489597008e-54,-1.5567634933430852e-66,-1.0297705467496167e-10,-4.02540378101567e-56,-2.836419158299379e-11,-1.4526296581075042e-36,-9.841691980520472e-71,6.142198904604405e-64,-476765.3835054658,105921117895993.98,1.6120295240672544e+16,1180102545939.4604,-1.9054456820240696e-67,4.301131700388317e-08,8.86516707273516e-34,2.8328871685646965e-50,5.214083091091844e-62,1.9915593851797756e-06,7.519188400139153e-52,5.602057316970302e-07,2.92244057701597e-32,2.052739114694084e-66,-1.6615555912048635e-59,3382.183488380056,1.108350713249872e+16,4.321078827107282e+16,7.041459064424405e+16,1263895959117.7334,-1.9662345913788834e-67,6.137848643537435e-08,1.3217292131451032e-33,5.240189384143871e-50,9.730296043218987e-62,2.614633690359956e-06,9.440643337957339e-52,7.473193444592644e-07,4.1122186756729445e-32,3.2130330243631523e-66,-3.095094470612683e-59,1.6612467292996756e-67
536.8,-9.177560313537643e-10,-2.0819923233376602e-33,-1.6534952255461872e-48,-4.3185166034946395e-60,-2.8533467487311423e-08,-5.824678340142618e-49,-8.910479360235202e-09,-4.7718171127881567e-32,-7.057168987190957e-63,1.5669617955563615e-57,-6025719.14342593,87126893839289.08,1.964221007434464e+16,7780053783378.074,-3.166415447520779e-60,1.8832585603218957e-05,4.291593917688134e-29,3.628408453399201e-44,1.2852818860268802e-55,0.0005647623256008334,1.1167275623937879e-44,0.0001797928976847841,9.749072675778622e-28,1.4707838303229325e-58,-3.5924495948347204e-53,157897.21590662285,1.3522505395504898e+16,5.273801413563514e+16,8.590272960548467e+16,8365452147090.861,-3.2698036091989713e-60,2.6966661823554214e-05,6.415926313572284e-29,6.721014089762156e-44,2.409056957596463e-55,0.000743541300846268,1.4078207577393734e-44,0.00024069788331077292,1.3743288492339113e-27,2.156727450994716e-58,-6.510703955438358e-53,1.0896953364500312e-58
744.16,-1.809298516970021e-07,-2.678111385482655e-29,-3.489595184951655e-43,-2.3873599074204173e-54,-3.820031980488874e-06,-7.824886317381328e-43,-1.3441545419196077e-06,-4.547592237968908e-28,-1.3195510995642165e-55,-1.1099602017882748e-51,-48717256.26769092,73844219883395.5,2.315913590066779e+16,36198341350017.766,-5.752775125675499e-54,0.003846599322389728,5.691071531265263e-25,7.732093348921377e-39,6.675355774262558e-50,0.07873729190872723,1.563611046297109e-38,0.028199911880595202,9.615209804764771e-24,2.8335062715693824e-51,2.5415053073304506e-47,4492288.878943559,1.5967171927129992e+16,6.2297083238653784e+16,1.0142339106645179e+17,39113476773567.29,-5.94355603227152e-54,0.005526809882321864,8.529301989469307e-25,1.4359702548747548e-38,1.2566576839406082e-49,0.10394687690688566,1.9788318032520695e-38,0.03788528786686909,1.3580540970812485e-23,4.164992165992578e-51,4.670835849225173e-47,7.627570480084252e-51
992.992,-1.8796636362639193e-05,-1.16238431214902e-25,-1.7835422964917493e-38,-3.3036132477531184e-49,-0.0002820375907575265,-1.6720088897406418e-37,-0.00011105678331959203,-1.5422312581073288e-24,-2.69025472427765e-49,-3.384571098027042e-46,-284871757.0375899,63806411373677.67,2.674573684666987e+16,129820254411126.89,-1.9051526625935354e-48,0.42125682937735465,2.591986259500265e-21,4.071869491204564e-34,9.055331005378058e-45,6.145870162142095,3.527210077920395e-33,2.460139281664163,3.4296818137063124e-20,6.053371737092334e-45,7.962802897862421e-42,85327848.525617,1.8470369350585736e+16,7.209581281405046e+16,1.1731191901130587e+17,141120794261797.25,-1.9692419067976176e-48,0.6072616875539069,3.893466757210794e-21,7.584353512175248e-34,1.7098571657604253e-44,8.13481518236095,4.480162275968743e-33,3.316321459774387,4.853057757386196e-20,8.926975982299837e-45,1.4642120316226808e-41,6.214592180171275e-44
1291.5904,-0.001137395238654124,-2.0106105536136522e-22,-2.769258356301067e-34,-1.3547275215224457e-44,-0.012605218052923514,-8.160212903835605e-33,-0.005514177120508307,-2.170509581163797e-21,-9.178847632523733e-44,-1.6909550327767691e-41,-1442816589.7809181,55863227495617.95,3.0437746780054784e+16,380817528561635.6,-1.5393124039364387e-43,27.284787620993068,4.7770772598671744e-18,6.636843578117764e-30,3.753140231252166e-40,294.19108235941513,1.8363919637752445e-28,130.71360378577708,5.1466390484317484e-17,2.1954378905498425e-39,4.173610408076187e-37,1153003604.2729611,2.1059580532222588e+16,8.224459734070328e+16,1.3374192465298122e+17,416938171150800.75,-1.5917044974664603e-43,39.454521775874056,7.19029367014193e-18,1.2399504496537673e-29,7.0714301639875645e-40,390.34340109070945,2.340487878149984e-28,176.7726920624962,7.294734855370927e-17,3.247055860179238e-39,7.696241312378867e-37,7.759394372500026e-38
1649.90848,-0.043205737209946145,-1.5758911653985614e-19,-1.5391112225055434e-30,-5.666757080278893e-40,-0.3657325729640694,-1.1769080240502666e-28,-0.17637504255984188,-1.4307769749757765e-18,-7.104932222078598e-39,-2.3383640887207847e-37,-7871959546.696371,49370468305423.5,3.4238796588799696e+16,952702395602717.8,-3.713382348213351e-39,1124.407877063155,4.0415916064991986e-15,3.9373821110518324e-26,1.5171295362052186e-35,9242.629317883013,2.8485384602119207e-24,4525.546054289394,3.658419282201761e-14,1.8285476780518337e-34,6.161743593632404e-33,11624800845.908508,2.374127039847557e+16,9.277308105518682e+16,1.50753148042462e+17,1051523186706778.8,-3.8406999945610404e-39,1630.5605697144563,6.0939725974268756e-15,7.378323057946852e-26,2.582216658864296e-35,12290.457834197781,3.641975255618346e-24,6138.50332228935,5.192621260174108e-14,2.711648325407476e-34,1.1397050080451404e-32,1.9025545673784232e-32
2079.890176,-1.0917001666558195,-6.204788187774291e-17,-3.4868115001602734e-27,-1.2221794200546154e-34,-7.273841641063932,-6.071626683675338e-25,-3.835156929747306,-4.87458212222815e-16,-1.5731077545041453e-34,-1.1211617522795965e-33,-42999597378.74128,43939626718741.59,3.812183967514243e+16,2092044859098008.5,-3.091196182478362e-35,31182.8606171686,1.7364324780770367e-12,9.662939188811625e-23,3.4426567960614915e-30,200824.19291882523,1.5900741573514163e-20,107536.48456477206,1.3562891150060728e-11,4.399640774510471e-30,3.201918109186301e-29,90753833170.22586,2.6501227025727576e+16,1.0363080099542371e+17,1.6825386769629366e+17,2328383949456060.5,-3.197505832815558e-35,45335.225134383545,2.6220594403751133e-12,1.816032336938199e-22,5.6256876594157864e-30,267566.1189174933,2.0389443211570814e-20,146259.26812218386,1.9271234093289956e-11,6.540370319046954e-30,5.940033561170153e-29,1.1321777900788117e-27
2595.8682111999997,-19.20340337537806,-1.3362498538944047e-14,-3.585394529138259e-24,-9.201362249484493e-30,-103.5439307672659,-1.2964969159070077e-21,-59.15945188317627,-9.317449301841634e-14,-1.2512415345020323e-30,-2.171776044647082e-30,-181269624632.63858,39325288745506.33,4.2030739018916504e+16,4109785543939603.0,-9.935254986589408e-32,608028.0053230653,4.116893967846346e-10,1.0903414481199007e-19,2.852198186471761e-25,3144672.224285206,3.6886907433444134e-17,1826669.5225378126,2.84067693558503e-09,3.8294238960641303e-26,6.810124903000403e-26,564891438309.64,2.9304640476695516e+16,1.1468637458444006e+17,1.8602175408005248e+17,4609266712932737.0,-1.0278052689657597e-31,885942.819700045,6.223842697946313e-10,2.0548332668026362e-19,4.7180405868041255e-25,4196693.161245133,4.7428564762253354e-17,2490374.325024235,4.039069465826942e-09,5.704043282134762e-26,1.2669199126523657e-25,1.9612091111084816e-23
