t(s),Flux surface 40: solute,Flux surface 41: solute,Flux surface 42: solute,Flux surface 43: solute,Flux surface 44: solute,Flux surface 45: solute,Flux surface 46: solute,Flux surface 47: solute,Flux surface 48: solute,Flux surface 49: solute,Flux surface 39: solute,Flux surface 22: solute,Total solute volume 7,Total solute volume 8,Total solute volume 9,Total solute volume 10,Total solute volume 11,Total solute volume 12,Total solute volume 13,Total solute volume 14,Total solute volume 15,Total solute volume 16,Total solute volume 17,Total solute volume 18,Total solute volume 19,Total solute volume 6,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total retention volume 8,Total retention volume 9,Total retention volume 10,Total retention volume 11,Total retention volume 12,Total retention volume 13,Total retention volume 14,Total retention volume 15,Total retention volume 16,Total retention volume 17,Total retention volume 18,Total retention volume 19,Total solute surface 21
100.0,-378919522795.12213,-119160841494.59938,-38053719688.869354,-46942519545.79166,-536036737557.60364,-190004038742.45804,-488078406958.6304,-164946370699.86874,-59610299524.49803,-35796696308.580025,-447228.4965464281,187859059140533.56,8367231498281767.0,2.5955629459330976e+16,6129612275073624.0,1471068136688634.5,737928976427277.4,428507452532970.75,441422049139746.5,1709774040207866.0,885550748155480.6,1637736809097754.5,834832431113532.9,497973524677838.44,402515357723401.25,1.0748515481615538e+19,5752043947813713.0,2.242451433336399e+16,3.654378977945952e+16,2.857132226433979e+16,6553093233683968.0,1975925566821167.2,1084976371997331.1,762501409738279.2,717433735096080.1,2112550329202792.8,1157271482259249.2,2071266983214023.2,1131735620409553.2,785721814597465.9,702654339399615.2,2.4585344128798285e+18
210.0,-2536141688706.951,-906688883149.8392,-325082726689.0053,-385349263173.76044,-3358092981137.4634,-1327862207665.0684,-3107908100471.044,-1181692980860.251,-478942762011.9613,-302693632637.1335,-5944796.737079085,137534869854982.42,1.2188557314077748e+16,6.92449956422951e+16,1.4615420039326726e+16,3695572046799553.5,1876606591896349.0,1106286734501308.8,1135832936034021.5,4259141388962776.5,2231699224583659.0,4088541206547230.5,2110940029149827.0,1275539412887864.0,1037715275611282.8,2.2505958621972e+19,8371866871216944.0,3.263032576199156e+16,5.3190749947286184e+16,7.625437640816893e+16,1.5633412418466736e+16,4997558609673186.0,2781289228089239.5,1983272249772605.5,1861183582517720.5,5292139691278116.0,2937168520976613.5,5202234805861719.0,2883260593508950.0,2029558715293153.5,1825434266540168.8,5.327736371955512e+18
331.0,-6699282059452.593,-2721697396615.107,-1159933670260.8582,-1306561025525.8499,-8417265524626.168,-3688926252007.5425,-7894871726093.205,-3358597609394.898,-1564237032812.4258,-1079232038970.9856,-40152707.26191415,110101439776327.38,1.5406777084237258e+16,1.2980192013716512e+17,2.4706153852265536e+16,6463640705278017.0,3318036623602105.5,1991008303763528.8,2035390689993638.0,7390714404261094.0,3906996072844096.0,7109302765472229.0,3709214550327435.0,2272847440469791.5,1864051336641718.5,3.536428375953762e+19,1.0589908154246456e+16,4.128324355525574e+16,6.727992879373922e+16,1.43005809426773e+17,2.6435300151195376e+16,8773320029452831.0,4939980798398755.0,3586061014797068.5,3351878897957126.5,9210697138928600.0,5161249373103916.0,9075681459235346.0,5087196658407235.0,3635272306028058.0,3294759658278951.5,8.701001217102521e+18
464.1,-12415352653495.682,-5430580278301.177,-2600249249649.8315,-2831107980520.9307,-15124379671138.629,-7013485718638.945,-14299630703669.938,-6480639717275.738,-3300476572745.2275,-2417344131821.0664,-187033607.35446775,92781142741560.47,1.8315211401023372e+16,2.0879001022096976e+17,3.620251767128197e+16,9658457264121624.0,4999781328957076.0,3050988966950540.5,3106734400683799.0,1.0969273557175052e+16,5835046926493719.0,1.0570209407562276e+16,5559067009084848.0,3448057965132215.0,2849665567969591.5,4.941716317879418e+19,1.2601537803655958e+16,4.913840696104288e+16,8.005515616572246e+16,2.3014278995648125e+17,3.874219966848041e+16,1.3137378411494368e+16,7463218663549886.0,5511005540933298.0,5131331021750797.0,1.3692941585752294e+16,7723595717966902.0,1.3518985747118808e+16,7641736479417569.0,5532722887545515.0,5051486415447768.0,1.2699709508349729e+19
610.5100000000001,-19286047187247.66,-8815943179193.238,-4551579006215.459,-4851447999739.026,-23034334619010.48,-11039487271094.234,-21890522503538.203,-10303236198290.928,-5550617505487.112,-4223499145227.801,-707894164.8234713,80669193925264.95,2.1051867438972424e+16,3.0790574421373037e+17,4.909318119606155e+16,1.3221834790877976e+16,6886404731817076.0,4265313945295990.0,4330474686069357.5,1.4932721104072204e+16,7977191342482264.0,1.441010014414041e+16,7624310347588608.0,4775300684982261.0,3972677451486469.0,6.475990572707087e+19,1.4499931654157712e+16,5.655730816812054e+16,9.210910726125034e+16,3.39579009527524e+17,5.25393685503852e+16,1.8006604545064142e+16,1.0295171879233298e+16,7718118740436369.0,7164961434936204.0,1.865800978350564e+16,1.0570456134638654e+16,1.845031208186895e+16,1.0494324666884414e+16,7678041142150926.0,7054568790820898.0,1.7484348040297466e+19
771.5610000000001,-27099332071774.867,-12737998732749.604,-6920385709267.391,-7279656317774.193,-31933635071852.67,-15624170343671.21,-30453813332410.56,-14688193925892.436,-8207973879304.336,-6404219336623.768,-2532478885.351948,71585736559273.62,2.3690522526335456e+16,4.29191379575792e+17,6.344243036719598e+16,1.7132222792950824e+16,8961610655800033.0,5623393786561821.0,5699398980220080.0,1.926128638024085e+16,1.0318630689455438e+16,1.860833819800807e+16,9891458262170708.0,6241419648937118.0,5220629215708198.0,8.14872250809048e+19,1.6335466225532832e+16,6.3736008392642376e+16,1.0376199714451026e+17,4.7362052297874886e+17,6.7893634979371304e+16,2.334969991217304e+16,1.340999045849574e+16,1.0186951242938024e+16,9439165420454124.0,2.407971742427755e+16,1.3681067340823074e+16,2.3841531472402068e+16,1.3624999730850448e+16,1.0048677693596722e+16,9280513274678836.0,2.3270570370473214e+19
948.7171000000003,-35768196111875.13,-17127943568534.81,-9651248627816.488,-10072276537752.883,-41746277171410.445,-20707977456175.848,-39909320257712.234,-19577688548772.734,-11213788431252.36,-8901307499451.75,-9440828251.911276,64431988587898.22,2.6273688389701828e+16,5.74985764133221e+17,7.935138478683296e+16,2.1390476195178836e+16,1.1221675066514552e+16,7122938357943288.0,7215409195506331.0,2.395923253808234e+16,1.285877117645639e+16,2.316772311102415e+16,1.2361212502604242e+16,7841993607498106.0,6588225570678185.0,9.96890018589859e+19,1.813760064618337e+16,7.07896351875915e+16,1.1520092422347682e+17,6.349131268500782e+17,8.491162333899314e+16,2.9166951126030404e+16,1.680142377537485e+16,1.29126960496132e+16,1.1956002837614774e+16,2.9962810113872296e+16,1.7054171401612264e+16,2.9695491886992716e+16,1.7034050961941316e+16,1.2636713250451914e+16,1.1719143453045882e+16,3.0350662296768086e+19
1143.5888100000004,-45277914755139.734,-21961595641484.05,-12721324298756.947,-13219237460365.775,-52469807548797.555,-26277942575014.38,-50249723817102.98,-24961240419059.3,-14542505978094.342,-11685583438598.373,-34905554399.76419,58594994609126.734,2.8826022907731236e+16,7.479286634543035e+17,9.694300564724514e+16,2.6010995566203044e+16,1.367079031972092e+16,8767880540991152.0,8886590845133056.0,2.9044415752647624e+16,1.5605227429145712e+16,2.8104484786510212e+16,1.5043015846053912e+16,9578042426578298.0,8074947603206166.0,1.1944360333562842e+20,1.9923863493414896e+16,7.778717701241339e+16,1.265370634135591e+17,8.264485583407662e+17,1.0372356581384242e+17,3.54776388868131e+16,2.0475495409794132e+16,1.5902193592121384e+16,1.4728186023583718e+16,3.632943248881199e+16,2.0699699045613324e+16,3.603271384346457e+16,2.073414903609856e+16,1.5443314639571876e+16,1.4369147361744752e+16,3.911430643984559e+19
1357.9476910000005,-55654276976126.58,-27240624296114.348,-16130133141317.934,-16730821926076.74,-64140642743083.984,-32346038977322.996,-61506626574463.37,-30855235862069.85,-18187857106567.7,-14746012847672.484,-114807299460.11443,53704584849584.19,3.136045582010123e+16,9.509891346269796e+17,1.1635500839432794e+17,3.1016496927555356e+16,1.631803819505026e+16,1.0566716391529104e+16,1.0724550141630532e+16,3.454263782263206e+16,1.8570378897661172e+16,3.3442700528187904e+16,1.7951859262142826e+16,1.1453605204289894e+16,9682993510168686.0,1.4080888204560561e+20,2.1703945098396216e+16,8.476731404225602e+16,1.3783171496075357e+17,1.0515966607187583e+18,1.2447573745837142e+17,4.231262354857244e+16,2.4445771435225824e+16,1.9170769350728596e+16,1.7774659314903122e+16,4.321182540254767e+16,2.4634023999632944e+16,4.288397508825242e+16,2.4745747607768764e+16,1.8474677465109796e+16,1.7234290472336068e+16,5.00476494728719e+19
1593.7424601000007,-66946168528356.27,-32981410053310.15,-19891951707394.137,-20627302765052.645,-76816625109707.38,-38937787960744.67,-73732943965814.02,-37291890218974.75,-22153557577901.996,-18081218391524.254,-319735630895.71014,49523004236996.67,3.3881378638792104e+16,1.1875054757044367e+18,1.3773512323163155e+17,3.643508951953967e+16,1.9175553523004548e+16,1.2531338030079124e+16,1.2741815590722078e+16,4.0484763963838776e+16,2.176953798248372e+16,3.921132000955868e+16,2.1106579078905364e+16,1.3474022848916398e+16,1.1415581586952106e+16,1.638127890899344e+20,2.34817826046075e+16,9.17464320555083e+16,1.4910959329890768e+17,1.3141494891726892e+18,1.4732556694280902e+17,4.97102104635253e+16,2.873050390674622e+16,2.2740024124414176e+16,2.111639500017523e+16,5.064860435933766e+16,2.8877451976297388e+16,5.028636106344186e+16,2.9094629398430372e+16,2.1739158519051136e+16,2.0320335563232092e+16,6.367578705695516e+19
1853.116706110001,-79216527552660.34,-39208871917980.48,-24030992947156.938,-24930384347124.043,-90568690493742.7,-46086657269660.82,-86994142851366.22,-44313788814914.38,-26447428781919.332,-21693436463309.83,-759049975551.7991,45890100996705.734,3.63865882659969e+16,1.4612314608261612e+18,1.612364754440793e+17,4.229872727531633e+16,2.2257481827026904e+16,1.4676302401467134e+16,1.4949146405806888e+16,4.690534481848188e+16,2.522006727579262e+16,4.544263784992517e+16,2.452907493327689e+16,1.5644697254761334e+16,1.3275545612274526e+16,1.884479761302639e+20,2.5256780877776e+16,9.872325627170682e+16,1.6036662541547974e+17,1.618371927824077e+18,1.7243705294091142e+17,5.771396060602837e+16,3.335101616457556e+16,2.663645234241755e+16,2.477207060392121e+16,5.868297989427478e+16,3.3453017766950476e+16,5.8281235620340664e+16,3.381076960289559e+16,2.524520840908364e+16,2.363252060945314e+16,8.042763392053654e+19
