t(s),Flux surface 40: solute,Flux surface 41: solute,Flux surface 42: solute,Flux surface 43: solute,Flux surface 44: solute,Flux surface 45: solute,Flux surface 46: solute,Flux surface 47: solute,Flux surface 48: solute,Flux surface 49: solute,Flux surface 39: solute,Flux surface 22: solute,Total solute volume 7,Total solute volume 8,Total solute volume 9,Total solute volume 10,Total solute volume 11,Total solute volume 12,Total solute volume 13,Total solute volume 14,Total solute volume 15,Total solute volume 16,Total solute volume 17,Total solute volume 18,Total solute volume 19,Total solute volume 6,Total solute surface 21
100.0,-793382176981.1118,-311744578626.223,-158723155637.63876,-154490116241.78546,-932517862499.5387,-375421812564.8668,-890263447936.5156,-353354728710.8059,-181826376752.50003,-141826689066.6473,-61247064.98855861,119345851815206.62,1.6356217050246366e+16,2.751857473172872e+16,6271825642627544.0,1703466299769961.8,900624220811069.6,580666683575765.8,570121022700183.9,1896270475174191.8,1016191723171805.2,1838014272930648.0,976336550090105.0,632521978052278.2,540339407320523.56,1.0751471819859941e+19,2.4596554323404733e+18
210.0,-3931667408932.1245,-1737344055571.1501,-962589128795.1707,-942409539893.7101,-4546918937804.318,-2051237603977.0627,-4359599796859.489,-1943520585589.0315,-1084635755970.767,-871752540658.7966,-541380808.3708466,74752244421774.05,2.475059957352794e+16,7.348374121877334e+16,1.4887141906549884e+16,4181243450604298.5,2225796518545026.2,1445803337059818.0,1420819271218966.2,4644872017065527.0,2506460410693684.5,4504098281391578.0,2410831106628454.0,1570958598565622.8,1345147213909800.0,2.2513850543563444e+19,5.330565446109312e+18
331.0,-8987064734746.06,-4214407215812.3,-2453697367527.0312,-2414202304352.963,-10303772836271.926,-4922438096314.782,-9901808350159.41,-4682371867115.26,-2736696905223.7534,-2240063031774.319,-2872252088.898672,56518570524297.08,3.146517356665965e+16,1.3786409545997138e+17,2.508296278646975e+16,7152594924379652.0,3821462962606546.5,2496662411796649.5,2455849721070466.0,7930921234826618.0,4295492633695773.0,7693718783489782.0,4136461259981642.5,2705586136408193.0,2320679007212470.5,3.5378981548101206e+19,8.706074887187562e+18
464.1,-15315363411797.248,-7402870089170.44,-4432172612952.752,-4376276969748.8228,-17468463684974.492,-8592877448436.412,-16809353858741.242,-8195804937867.404,-4910019661887.676,-4059682550976.575,-13600264067.626976,46392714360058.24,3.725642425834054e+16,2.2193819662835968e+17,3.666692189306463e+16,1.0491563799652658e+16,5614163472942356.0,3684174756002719.0,3628497560894241.5,1.1615145016616152e+16,6301364450472933.0,1.127154445995715e+16,6075393036718775.0,3981761898109896.0,3418977588623148.0,4.944048819929114e+19,1.270757575807059e+19
610.5100000000001,-22557623517175.293,-11085968760984.076,-6751789597772.378,-6687605928297.732,-25642304788782.22,-12819412861995.742,-24695214717574.1,-12252909462273.17,-7441663065625.535,-6188186021669.078,-56620371759.652596,39759489769449.16,4.236022716589714e+16,3.2753276580818963e+17,4.963435211029706e+16,1.4153227792679344e+16,7576373142761445.0,4990535592532615.0,4923593231263854.0,1.5648568334153496e+16,8494265943026714.0,1.5189608151433338e+16,8200098430249970.0,5378545307446419.0,4621204966548268.0,6.479370508779133e+19,1.7495620164959142e+19
771.5610000000001,-30591721878861.473,-15185143466050.123,-9359666643500.99,-9301446614354.934,-34691981709232.273,-17516611730937.28,-33428826582747.3,-16774604646074.385,-10270005842968.498,-8570047006590.639,-184788014890.2652,34991964240407.203,4.685558609343268e+16,4.5680553765062054e+17,6.405380752938118e+16,1.8130834090188964e+16,9702396994710486.0,6413652969563996.0,6341958051046735.0,2.0023957230004696e+16,1.0868699542179246e+16,1.9440491519538028e+16,1.050691271891893e+16,6891209286617701.0,5922853013843715.0,8.153345737337828e+19,2.3285967134348554e+19
948.7171000000003,-39393321317323.68,-19679268097008.54,-12244613170783.318,-12213545014990.135,-44591721212773.73,-22663338914880.33,-42983935310433.53,-21744793966806.91,-13376650671823.504,-11187959509355.342,-472339253176.8042,31376810700388.508,5.07722522868895e+16,6.121814890683607e+17,8.002893751360957e+16,2.2436750117992936e+16,1.199731596538696e+16,7959607217729368.0,7892784424792157.0,2.4754623723857736e+16,1.343101305630497e+16,2.403677140496272e+16,1.3004153162741054e+16,8522769629967589.0,7326325553255135.0,9.974981491568114e+19,3.0371038623582446e+19
1143.5888100000004,-48986389245999.64,-24575070729622.418,-15416592922649.385,-15440891664689.9,-55368059530619.65,-28269329603024.617,-53385049472082.17,-27178525045977.91,-16763389742922.148,-14042529113042.646,-1001316141477.1796,28554384470088.746,5.413018014735403e+16,7.963539643382088e+17,9.768421396235523e+16,2.7092959100807388e+16,1.4471363301834372e+16,9638721869818346.0,9589383733506660.0,2.9864058430612076e+16,1.6193215833127294e+16,2.9000881102887356e+16,1.5706237847377704e+16,1.027950821271668e+16,8836871315974753.0,1.1952139552321695e+20,3.914067860272856e+19
1357.9476910000005,-59418505922479.98,-29892272196091.094,-18896230613571.887,-19009769502475.395,-67072864548653.07,-34358818601785.37,-64681047479817.695,-33106416229779.566,-20440259419984.1,-17141361606744.732,-1857278928652.0562,26323801574225.215,5.695447215162198e+16,1.0123170977150017e+18,1.1715829209874984e+17,3.2126724605272284e+16,1.7137332411766644e+16,1.146375916452155e+16,1.1446560329611364e+16,3.5381289794005416e+16,1.9170210033106016e+16,3.436050584311194e+16,1.863110092029102e+16,1.2168748013680192e+16,1.0460424483755478e+16,1.4090634734002658e+20,5.008121771495552e+19
1593.7424601000007,-70750117856709.53,-35657068046486.625,-22710253087142.605,-22948400033426.69,-79771804161892.66,-40963553822933.98,-76933721176399.33,-39568140756928.4,-24419848502357.89,-20493521103913.12,-3126671955148.3643,24561244350581.348,5.928000591991629e+16,1.263415068204606e+18,1.3859952093021829e+17,3.7568745492322904e+16,2.000947792673716e+16,1.3449218859358526e+16,1.3478440220341092e+16,4.133895357323794e+16,2.2378671651192744e+16,4.014660041737158e+16,2.179921934528899e+16,1.4197698736247954e+16,1.220234842292374e+16,1.6393294984377336e+20,6.3717957840343245e+19
